Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,25.125,17,1,1.125,4,10,3,4,0,0,0,1,2,0,1,0,0,2,0,1,0,0,2,0,0,0,1,1,0,4,0,3,1,4,0,4,1,0,1,3,3,0,0,1.75,0,2,2,1,0,1,0,1,4,0,0,0,4,0,5
SD06,Rocky Mountain,25.625,0,9,0,0,3,3,3,0,0,1,0,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4.25,0,0,0,5,2,0,0,4,0.25,1,1,0,2,0,0,1,1,5,1,0,0,0,0,0,3,0,0,0,2.625,0,0
SD08,Kootenay Lake,19.9375,9,0,5,0.875,39.875,6,9.4375,0,0,3.125,1,0,1,0,0,0,0,0,1,1,1.25,0,2,0,2,0,0,4,0,0,2,1.875,4.75,1,2,0.75,1.875,3.5,0,2,1,0,0,7.25,2.125,3.25,0,0,0,1,0,0,1,0,2,0,4.75,0,7
SD10,Arrow Lakes,2,2,10.125,0,1,1,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.25,0,0,0,0,0,0,0,0,1,0,0,0,4.375,0,0
SD19,Revelstoke,0,1,0,0,0,2,3,2,2.875,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1.25,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,4,0,0,0,0,0,1
SD20,Kootenay - Columbia,4.875,4.25,28.125,1.5,0,0,1.125,10,0,4.125,2,0,1,3.875,0,0,1,0,0,0,0.875,0,0,2,0,3.5,0,0,11,0,0,3,1.875,0,0,0,0,0,1.125,0,6,2.625,1,1,12,0,4.25,0,0,0,0,0,0,3,0,0,0,2.5,0,0
SD22,Vernon,5,4,4.75,4,1,0,0,52,5,1,2,8.5,4,9,1,0,5,0,0,5,1,3,0,1,1,0,0,0,0,0,4,2,3,5.125,0,5.125,9.5,1,6.125,1,7,8,0,1,12,1,26,0,1,1,2,0,3,68.75,0,3,0,8.875,0,0
SD23,Central Okanagan,10,2,14,5,1.625,9,57.125,0,9.625,8.25,10.125,15.625,6,20.5,7.5,0,6,2,4.25,6,3.875,6.125,5,1,1,5,0,0,2,0,7,0,22.375,21.625,1,10.875,9,4,5.375,0,41.375,9,2,1,6.375,3,35.75,1,10,0,2.25,0,1,29.875,0,0,0,17.4375,0,6
SD27,Cariboo - Chilcotin,2,2,0,0,1,1,11,11,0,16,5,4,2,16,2,0,0,0,0,3,5,2,0,0,0,1,3,0,1,1,1,1,29.375,2,3.875,5,0,3.125,1,1,1,2,0,1,2,3,35,3,2,1,1,1,1,3,0,1,0,9.75,0,0
SD28,Quesnel,2,1,0,0,0,1,5,5.75,12.125,0,2,1,3,2,1,1,2,0,0.75,0,1,0,0,1,0,0,1,0,0,0,4,0,34,0,1,6,1,1,0,0,7.25,0,1,1.125,0,1,5.125,0,1,0,0,0,2,6,0,6,0,6,0,0
SD33,Chilliwack,1,0,4,0,0,1,11.375,11.3125,4,1,0,83.8125,40.4375,27.25,5,6.1875,12.1875,8,1.5625,4.25,8.5625,2.125,0,7.1875,2,3,0,0,2,0,3,1,12.125,5.0938,3,1.8125,0,3,2.5625,2,8.125,3,1.0625,2,21.8125,8.0625,23.9375,3.0625,19.3125,44.75,5,0,9.0625,11,0,0,0,5,0,1
SD34,Abbotsford,5,0,0,0,0,2,6,13,9,1,161.875,0,111.375,77.5,9,4,4,3,7.375,17,8,4.125,1,3,3,0,0,0,0,1,7,1,17,7.125,1,4,5,2,1,0,6,7,2,2,9.375,7,16,1,85.5,4,7,0,1,11.5,0,0,0,6.625,0,0
SD35,Langley,1.75,0.375,1,0,1,2,7.125,19,6,2,73,102.625,0,207.25,18,4.125,9,9,19.25,23.375,19.75,4,6.125,2,6.875,2,0,0,4,1,4.875,0,4.875,14.75,2,2,3,3.875,3.5,0,5,9,9,0,6.375,6,34,3,28.25,14,6,0,0,8.4375,0,0,0,10.25,0,1
SD36,Surrey,3.875,1,13.25,0,0,3,28,57.75,16,4,120.125,154.875,429,0,324.125,54.5,135.5,39.125,64.8125,48.125,73,23.25,15,6,3,2,0,0,3,2,14.25,0,11,17,3,5,18.125,17,10.125,0,17,13.0625,12.875,3,20.125,10,37.125,2,42,23,3,0,6,19,0,1,0,20.25,4,12
SD37,Delta,0,3,0,0,1,1,4,8,0,0,18.125,12.25,33.875,228.625,0,19.125,23,4,8,7,7.25,6.125,4.75,0,0.875,3,0,0,2,0,3,0,8,3,0,0,4.75,2.875,0.5,2,4.875,8,4,1,10,5.875,7,0,8,0,6,0,3,1,0,0,0,90.125,0,1
SD38,Richmond,1,0,1,0,0,0,7,13,0,0,6,3,22,115.625,71,0,134.875,12,24.375,6,17,10,16,6,0,1,0,0,0,0,1.875,0,1,9,1,2,5,6,5.75,1.75,5,3.75,0,0,13.5,0,5.25,1,1.875,2,1,0,3,1,0,0,0,13.625,0,0
