Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD39,Vancouver,4,1.125,7.625,0,2,1,11.875,15.125,1,1,13.875,12,32.9375,281.125,51.5,154.5625,0,53.75,215.3125,25.375,117.125,58.5625,42.0625,10.125,6,16,5,4,0,3,3.625,0,11.875,14.875,1,2,37,2,25.875,26,11,24,1,0,51.875,1.375,13.875,0,5,4,5,0,3,0,0,1,0,46.375,3,13
SD40,New Westminster,0,0,3.0625,0,0,1,1,2,3,0,7,3,14,53.25,9,4,31,0,67.5,13,52.125,5,12,4,8,0,0,0,1,1,3,1,0.75,0.75,0,1.25,1,5,1,2,0,3.25,0,2,9.625,2,5.1875,0,11,0,2,0,0,0,0,0,0,3,0,3
SD41,Burnaby,2,0,4,1,0,1,3,7,0,0,5,6.875,74,146.875,29,43.75,201.5,60.125,0,48.5,196.125,28,11,6,0,2,0,0,1,4,1,0,2.875,4.125,0,1.125,7,4.875,4.75,0,2,8.875,2,0,4.125,1,5,0,5,1,2,0,3,3.125,0,2,0,1.875,1,6
SD42,Maple Ridge - Pitt Meadows,2,0,1,0,0,2,11.125,24,7,3,25.125,19.125,21.125,31,3,0,15.25,8,13.125,0,57.375,0,2,2,2,7,0,0,0,0,4,0,5,4,0,2.75,5.125,6,2.125,0,5,5.125,0,0,6,0,12.375,1,45.875,0,9,0,2,5,0,0,0,3.625,0,13
SD43,Coquitlam,3,0,8.875,0,0,1,5,21,4,0,36.125,8,58.25,63.125,9,6,60.5,17,76.625,193.125,0,16.125,22,6,1,4,0,0,2,0,2,2,3,0,0,16.5,9,5,5,0,7,4,4,2,20.625,3.0625,11,0,20,3,0,0,0,1,0,0,0,5.125,0,15
SD44,North Vancouver,1,1,1,0,0,0,3,25,1,0,6,4,7,11,1,0.9375,25.0625,9.125,21.25,14.125,23.875,0,107.5,10.625,0,18,0,0,0,1,2,0,1.5,2.125,0,0,1,6.875,0.9375,2,1,10,5,0,25.125,0,2,0,3,0,2,0,2,3.75,0,1,0,8.125,0,0
SD45,West Vancouver,0,0,2.125,0,0,2,0,2,0,0,1.125,0,2.875,3,5,2,23.8125,6,7.5,2,15,49.125,0,3,1,10.75,0,0,0,0,0,0,3,3.625,0,1,4,1,6,1,3,3,0.875,0,11.75,0,0,0,2,0,0,0,0,2.75,0,0,0,1.375,0,2
SD46,Sunshine Coast,1.4375,0,1.25,0,1,0,2.125,1,2.5,1,1,0,2,12.125,1,2,11.125,1,1,1.125,2,14.25,1.25,0,9,0,0,0,0,1,2.1875,0,0,1,0,0,3.375,2.125,0,0,0,7,2,0,10.5,1,2,1,0,0,2,0,0,3,0,0,0,0,0,2
SD47,Powell River,0,0,0,0,0,0,0,1,0,1,1,1,4,0.875,1,0,2,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,2.375,4,1.5,4,0.375,1,0,1,30.25,7,1,0,0,0,0,0,1,3,0,1.375,0,0,0,5
SD48,Sea to Sky,0,2,0,0,3.25,1,2,7,11.125,1.25,4,3,3,7,2,0,7.375,1,6.5,3,5,9,22.125,9,7,0,0,0,0,0,2,2,1,0,0,3,0,6,0,0,7,5.125,0,1,10.375,4.5,4,2,0,0,2,0,0,4,1,1,0,3,0,0
SD49,Central Coast,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD50,Haida Gwaii - Queen Charlotte,1,2,0,0,0,0,0,3,0,0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0
SD51,Boundary,0,2,4,0,1,7,2,19,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,4,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,5.875,0,0
SD52,Prince Rupert,0,1,2,0,0,2,0,2,0,1,0,0,0,0,0,0,3,0,0,2,1,4,0,0,1,0,0,8,0,0,0,4,16.125,0,2,0,0,0,0,0,2,2,3,2.125,2.875,0,5,0,0,0,0,0,15,0,0,0,1,0,2,0
SD53,Okanagan Similkameen,0,2,1,0,0,0,7.5,17.375,3,0,5.625,0,0,5.25,0,1,1,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,4.375,0,0,1,0,0,0,29.625,1,0,0,0,0,4,1,0.5,0,0,0,0,4,0,0,0,1,0,1
SD54,Bulkley Valley,1,0,0,0,0,0,3,1,2,2,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,19.125,0,0,0,0,1,4,0,0,2,0,0,3,0,7,0,2,0,1,0,10,5,0,0,1,6,0,2
SD57,Prince George,3,0,1,3,2,6,15,21,15.125,16,7,6,3,20,2,0,4,3,2,8,3,2.0625,2,2,1,4,0,1,0,2,8,5.125,0,0,6.25,16.875,8,0,5.125,0,7,13.3125,4.8125,3.875,4,3,30.125,2,1,0,4,1,28,5,0,0,1,89.75,3,0
SD58,Nicola - Similkameen,1,0,0,0,0,0,1,16,12,3,2,6,2,0.25,1,0,2,0,2,0,0,0,0,3,1,5.75,0,0,0,1,7,1,0,0,4,1,1,1,0,0,3.75,3,2,1,0,1,28.25,4.125,0,0,2,0,3,5.25,0,0,0,1,0,2
SD59,Peace River South,2,0,0,2,0,1,5,3,3.25,5.375,0,3,2,8.125,0,0,2,0,0,0,0,1.125,0,1,0,2,0,0,0,0,4,2,10.125,2.125,0,23.5,0,0,2.5,0,5,3,1,0,1,4,8,0,1,0,3,0,2,0,0,0,0,7,0,2
SD60,Peace River North,1,2,0,0,0,2,9.25,10,3,5,5.25,4.9375,2,4,0,2,0,0,2,1,0,0,0,3,0,5.0625,0,0,0,2,1,2,18.1875,0,30.0625,0,2,4,6,0,1,10.125,0,3,2,8.125,8.9375,2.1875,0,3,2,3,1,8.125,0,0,0,3,0,0
SD61,Greater Victoria,1,5,5.125,0,0,1,3,3.875,4.375,0,5,4,3,11.125,4,8.25,5,0.625,6,0,6,2,0,0,1,4,0,1,0,2,5.375,0,0.125,1.5,0,0,0,212,325.6252,9.25,5.5,12,11,7.125,23.375,8,3,0,3,3,32.3125,0,1,8.125,1,5,0,4.375,0,7
SD62,Sooke,6,1,2,0,0,0,2,5.625,1,1,1.625,5.5,0,4,4,2,4,1,3,2,8,0,1,3,0.75,1.625,0,1,2,0,2.125,1,0.5,1,1,0,102.125,0,66.625,3,1,18.625,7.5,4.125,20.875,8,10,1,0,1,43.75,2,2,0,2,2,0,2,0,3
SD63,Saanich,0,0.125,0,0,0,0,1,2,2,0,0,0,0,6,2,0,3.25,0,0,0,1,1,0,0,0.875,0,0,0,2,0,1,0,1,1,2,0.125,103.625,37.75,0,4,0,8.75,1,2.25,18.375,0,0,0,0,0,29.625,0,1,0,0,0,0,1,0,5
SD64,Gulf Islands,0,0,0,2,0,0,0,2.5,0,1,0,0,0,1,0,0,16.375,1,2,0,1.125,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3.875,5.125,8.75,0,2,1,5,0,7.25,2,1,0,1,0,8.25,0,0,0,0,0,0,3.25,0,0
SD67,Okanagan Skaha,4,1,4,0,0,2,1,38.625,4,1,4.125,2,6,4,2,0,1,0,6,2,5.0625,2,0.875,1,0,0,0,0,0,0,24.9375,1,2,7.625,5,7,4,4,3,1,0,4.9375,0,0,3,2.875,9,0,0,0,0.875,0,0,1,0,0,0,4.375,0,2
SD68,Nanaimo - Ladysmith,3,0,1,1,0,3,0,6,1.125,0,5,7,3,22,2,1,3,1,2,1,7,6,0,2,5,3,0,0,0,1,0,0,4,2.125,0,3,15.125,14.875,3.375,1,0,0,34.625,34.125,42.875,12.875,2,0,2,1,41.75,1,1,0,30,3,0,4.125,0,4
SD69,Qualicum,0,0,2,0,0,0,0.5,0,0,1,1,3,1.875,2,1,0,1,0,0,1,0,1,0,0,0,4,0,0,0,2.125,0,0,0,1,0,0,6,1,1,1.5,3,39.875,0,28.5,33.875,7,3,1,0,0,6,0,0,2,0,3,0,1,0,0
SD70,Alberni,0,3,0,0,0,2,3,8,1,0,1,0,2,3,1,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,1,0,0,0,2,6,1,1,0,17,11,0,12,9,9,0,0,0,5,0,0,0,3,2,0,0,0,7
SD71,Comox Valley,0,0,1,0,0,1.5,2,2.25,8,1.125,5.0625,2,5.0625,1.125,3,1,1,9,4,0,1,2.25,0,1,23.5625,4.75,1,0,0,0,0.25,0,1,1,0,1.0625,20.5,14.25,7,9,3,35.0625,11,12.5,0,31.625,2.875,0,2.25,3,8.125,0,0,1,3,10.5625,0,3.125,0,6
SD72,Campbell River,2,0,3,0,0,1,1.125,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1.25,1,0,2,0,0,2,3,0,1.125,0,4,7,6,0,0,8,18,8,5,42.5,0,1,0,0,0,1,0,2,1,8,13.125,0,2.125,0,4
SD73,Kamloops - Thompson,9,1,1.25,1,2.125,1,21.25,24,27.25,4,18,15.125,1.5,19.25,2,4,6,0,6,2,6,4.125,0,0,2,1,3,0,1,1,5,2.125,19.125,30.25,9,9,8,3.125,0,0,12,7.25,1,1,11.875,0,0,18,3,1,4,1,3,27,0,1,0,10.625,0,2
SD74,Gold Trail,0,1,0,0,0,2,0,0,3,2,1,0,6,3,0,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8.625,4,2,1,0.875,0.5,2,1,2,0,0,5,0,19.125,0,0,0,1,1,1,5,0,0,0,2,0,0
SD75,Mission Public,0,2,1,0,0,0,0,5,7,0,23,55.375,19.125,13.125,1.125,1,2,2,4,22.125,9,0,5,0,2,0,0,1,2,0,3,0,3,6,0,0,0,0,1,0,0,2.125,1,0,5.875,2,11.625,2,0,12,1,2,1,3,0,0,0,5.125,0,0
SD78,Fraser - Cascade,0,0,0,0,0,1,0,0,4,1,57.625,6,2,6,2,0,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,6,2,2,0,2.625,0,1,1,0,1,1,0,1,2,0,8,2,3,0,0,0,0,3,0,0,1,0,0,0
SD79,Cowichan Valley,0,1.125,0,0,0,2,4,1,1,0,9,2,0,6,1,0,3.125,0,6,1,4,3,1,0,0,1,0,0,0,1,0,0,1,0,1,5,24.5,24.25,17.625,9,1,56.25,4,2,12.25,11,13.25,0,0,0,0,0,1,0,0,2,0,5,0,1
SD81,Fort Nelson,0,0,0,0,0,1,0,3,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,11,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0
SD82,Coast Mountains,4,0,1.5,0,0,0,3,3,7,0,2,3,0,3,2,0,11,0,0,0,1.75,0,0,0,0,2,1,2,0,16.25,4,19,31,1.125,3,1,3,3,5,0,0,4,0,0,3.375,0,11,0,1,1,2,0,0,2.25,0,0,2,7.75,16.125,1
SD83,Okanagan - Shuswap,4,1.125,2,0,2,0,64.625,22.4688,5,2,1,3,0,3,1,1,1,1,0,1,3.25,0,0,2,2,0,0,0,3,0,1,2,2,12.25,8.25,2.0313,0,4.875,3.625,2,5,1,2,3,3,4,27.25,1,3,0,1,0,5.375,0,0,0,1.125,5.75,0,0
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.125,0,1,0,0,9,0,0,4.375,9,0,0,0,0,1,0,0,0,0,1.5,3.5,0,0,0
SD85,Vancouver Island North,2,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,1,0,0,6,2,2.25,0,0,14,0,1,27,6,0,0,0,0,2,0,0,0,2,0,0,2,0,0
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0
SD91,Nechako Lakes,0,0,0,0,0,0,1,9,8,4,13,3.125,3.125,8.125,3.5,1.5,14.125,3,1,1.125,0,4.125,0,2,3,0,0,0,1,0.25,2,4,85.875,5,1,1,3.125,1,2,1.125,0.5,4,0,1,0,2,10.375,4,1,1,3.125,8,3.25,6,0,2,0,0,0,0
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0
SD93,Conseil Scolaire Francophone,0,0,1,0,3,9,1,18.75,0,0,9.125,2,3,21.125,4,15,56,3,9,4,12,22,16,3,10.75,30,0,0,0,0,0,0,10.875,0,0,0,32,17.75,9.125,0,12,13.125,0,3,15,14,8,0,9,0,1,0,5,0,0,0,0,2,0,0
