Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,37,31.25,3,0,7,2,4.25,4,2,3,0,0,2,0,1,0,0,0,1,0,0,0,3,0,0,0,0,2,1,1,2,4,5,8,2,2,1,0,0,0,0,0,0,0,0,4,1,0,0,3.125,1,0,3.125,0,0,0,7,0,0,147.75,134.125
SD06,Rocky Mountain,25,0,11.125,0,1,4.125,4,3,2,0,2,3,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,3,0,1,0,1,0,1.125,4,0,0,0,0,1.875,1,1,0,2,0,11.25,3.25,0,1,0,0,0.875,0,0,3,0,2,0,0,98.625,109.875
SD08,Kootenay Lake,20.625,9,0,8,0,48.25,5.125,5,1.875,4,0,1,2,5,1.125,0,3.75,1,5.5,1,2.125,1,1,2,0.625,1,0,0,2.625,0,2,0,4.125,2,2,1,2.875,0,0.5,2,3,2,0,1,0,2,2,1,3,0,0.75,0,1,5,0,2,0,0,0,6,177.875,199.0313
SD10,Arrow Lakes,0,0,11,0,1,1,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,0,0,0,0,32,37.0625
SD19,Revelstoke,0,2,3,0,0,0,2,4,4,1.125,0,0,0,0,0,0.875,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0.375,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,24.125,43.625
SD20,Kootenay - Columbia,9,4,28.125,1,0,0,1,8,0,0,0,5,0,3,0,0,4,0,0,5,0,0,0,0,1.125,0,0,0,4,0,1,1,1,0,1,2,0,0,0,0,2.875,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,10.875,101,138.25
SD22,Vernon,7,2,3,3,4,3,0,44,5,2,5.125,5,5,13.25,2,0,3,1,3,2,5,3,0,0,3,4,0,1,4,0,0,2,9.125,2,1.125,1,4,1,0,0,4.875,2,3,1,0,2,12,1,3.25,0,1,2,2,38.625,0,0,0,4,0,3,232.375,234.25
SD23,Central Okanagan,2.875,7.875,19.25,9,2,13,42.75,0,14,4,13,10.75,2,26,7,8,17,2,8,4.75,18.125,9.625,2,5.9375,0,8,0,0,8,1,14,5,24,6.125,5,7,11,2,1.75,0,50.5625,10,5,0,8.0625,2,30,6.25,4.25,4,3,1,1,29.375,0,0,0,4,0,5.125,505.4375,447.75
SD27,Cariboo - Chilcotin,0,2,4.25,1,2,2.5,1,13.125,0,14.125,5.75,10,4,16,2,0,5,0,3,2,6.125,0,1,0,1,1,2.5,0,2,4,0,7,13.125,6,11,4,0,1,0,0,4,2,0,1,3,0,34.125,4,3,7,2,2,4,3,0,1,3,4,0,0,224.625,226.125
SD28,Quesnel,1,1,0,3,0,1,2.25,0,5,0,3,2,0,9,2,0,2,0,0,1,1,0,1.0625,0,0,2,1,0,0,3,0,0,23,1,1,3,0,0,0,1,3,1,2,0,0,3,5,0,2.125,2,1,0,3,5,0,1,0,0.625,0,0,98.0625,121.625
SD33,Chilliwack,5,2,1,0,0,1,10,13.875,8,1,0,88.5,55.4375,62.125,9.125,5,11,4,9.25,21.75,21.25,8.625,0,4.125,3.25,4.125,0,1,2,4,3.125,1,7,3.5,2,2.5,2,2,1,3,8.875,2,1,0.375,2.375,0,8,3,18.625,62.75,1,0,6,1,0,0,0,7.375,0,5,510.9375,370.75
SD34,Abbotsford,3.125,0,0,0,0,1,3,2.25,3,1,78.625,0,101.5,102,13,10,12.875,1,8,9,24,1,3,4.125,0,4,0,0,0,0,6,0,13.875,2,1,1,3,4,0,0.625,6,5,2,2,1,1,9.9375,2,64.875,10.1875,2,0,5,5.25,0,0,0,1.875,0,7,542.125,545.5625
SD35,Langley,2,1,0,0,0,1,1,9,7,1,37.3125,87.1875,0,318.625,29.75,14,27.125,16,26.375,27.75,21.125,8,0,1,0,3.125,0,0,1,0,0,0,0,3,0,0,4,0,2,0,2,6,0,1,7,0.875,12,2,14,4.125,3,0,0,2,0,0,0,1.125,0,12.75,717.25,598.4375
SD36,Surrey,2,2,4.8438,1,0,1,6.25,29.125,15.625,0,28.8125,54.875,226.1875,0,228.25,152.5,250.0625,67.1875,176.25,37.125,92.25,16.0625,1.8125,3,2.375,11.125,0,0,2,6,3,3,16.25,5,4.25,4,21.5,6,6.375,0,4,14.625,4,6,1,5,26,5.25,34.625,6,7,0,2,5,1,0,0,7.375,0,26.125,1642.0938,1649.125
SD37,Delta,0,1,3,0,0,0,1,3.125,1,2,5,7,15.125,342,0,65.875,63.6875,13,24,3,9,3,2,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,2,3,3,0,0,0,0,1,0,1,0,11,594.8125,479.625
SD38,Richmond,0,0,0,0,0,0,0,2,0,0,7,2,5,60.5,19,0,123.9375,22.25,23,3,7,6.125,2,4.1875,0,2,0,0,0,4,0,0,1,0,0,0,1,0,1.25,0.625,1,4.875,0,0,0,3,2,4,0,1,0,0,4,0,0,0,0,3.25,0,7,327,594.125
SD39,Vancouver,1,0,6,0,0,0,1,11,5,0,7.4375,17,16,123.25,19.25,156.875,0,29.4375,173.125,10.875,69.25,27.6875,37.25,14.125,5.125,9.125,0,2,0,8,4,0,7,3,1,1,19.25,1,3,16.125,2.9375,6.75,3,5,6.875,10,4.75,5.125,8.25,0,4,0,14,1,0,1,1,6.125,2.125,38.5,925.625,1463
SD40,New Westminster,1,0,0,0,0,0,2,1,0,1,2,6,3,42,14,11,63.875,0,103.625,6.875,17.125,2,6,2,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,3.125,1,0,1,1,1,0,0,3,0,0,0,0,2.375,0,1,305,345.125
SD41,Burnaby,0,1,2,0,0,3.125,0,7,2,1,13.0625,7,8,82,14,34.125,302.0625,88.25,0,10,80.125,25.1875,9,11.1875,1,14,0,0,0,3,1,0,9.25,0,1,2,4,3,0,1,0,9,1,0,3,2,4,2,2,0,1,0,4,0,0,3,0,3,0,5.875,779.25,949.375
SD42,Maple Ridge - Pitt Meadows,0,0,1,0,0,0,5,4,8,1,10.0625,10,18.0625,53,9.875,7.875,21.875,15,34.625,0,98,8.125,1,2,0,3,0,0,0,0,4,1,6,1,1,0,4,0,0,0,0,5,2,3,2,1,2,3,31.75,2,5,0,1,1,0,1,0,1,0,7,396.25,375.125
SD43,Coquitlam,1,1,5.125,0,0,0,6.25,19,1,0,10.125,25.25,27.125,95.125,10,31.75,139.5,33,197.5,96.625,0,40.25,6,6,5,4,0,0,0,0,3,0,6.5,3,0,0,10.625,3,1,0,4,8.125,0,0,3.0625,3.625,6.125,4,15.875,1,0,0,2,1,2,0,0,3,0,18.25,859.8125,618.625
