Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD44,North Vancouver,1,0,3.125,0,0,3,1,3,0,0,1.0625,7,8.25,30.125,5,8,66.125,5,31.75,9,23,0,74.8125,15,0,11,1,0,1,2,0,0,2,0,1,1,5,2,0,13.25,2.75,9.625,0,1,2.1875,0,9,1,1,1,0,0,1,2,0,0,0,2.75,0,20,387.8125,330.4375
SD45,West Vancouver,0,0,2,0,0,0,1,0,0,0,0,0,2,5,0,12,47.0625,12,37,0,9,91.0625,0,2,1,20,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0.875,0,0,0,3.9375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,269.9375,186.375
SD46,Sunshine Coast,0,0,1,0,0,0,1,1.9375,6,0,2.3125,4,2,10,0,1,10,7,3,5,3,2,1,0,3,4.125,0,0,0,0,0,0,2,0,1,0,1,0,0,3.875,1,0,0.375,2.1875,2,2,0,0,2,2,0,0,0,1,0,2,0,1.75,0,5,96.5625,129.3125
SD47,Powell River,0,0,2,0,0,0,0,3,0,2,0,0,2,2.125,0,0,2,3,1,0,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,4.125,0,0,0,0,2.875,6.875,3,0,20.375,7,4,0,2,0,1,0,0,0,1,3,0,0.75,0,6.125,87.25,89.25
SD48,Sea to Sky,0,0,3,0,0,2,4,6,0,0,3.375,1,1.125,4,2,2,21,2,5,0.75,5,12,3.25,4.1875,0,0,0,1,0,0,0,0,1,0,3,1.25,2,0,0,1,2.375,2,1.375,5.0625,1.875,3,3,2,4,0,1,0,1,4,0,2,0,0,0,17,140.625,149.125
SD49,Central Coast,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2.125,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,14.125,17.5
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,1,0,0,0,0,0,0,0,0,3.375,3,0,0,1,0,0,0,5,1,0,0,0,0,1,0,30.375,25.875
SD51,Boundary,0,1,5.5,0,0,3,2,14.125,0,0,0.375,0,2,2,3,0,1.875,0,3,1,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3.625,0,0,56.5,52.8125
SD52,Prince Rupert,0,4,1,0,1,0,0,2,0,0,1,2,3,4,0,0,9,1,0,0,0,0,0,0,0,0,0,3.75,0,0,0,1,12,0,2,1,0,0,2,0,0,7.75,1,1,0,0,1,0,0,0,0,0,35,0,1.0625,0,0,1,13.125,0,110.6875,101.875
SD53,Okanagan Similkameen,4,1,2,0,1,1,1.125,7,0,0,5,5,4.625,3,1.75,0,5,0,2,1,0,4,1,1,0,2,1,0,1,1,0,0,1,3,0,0,1.9063,0,0,0,30.8125,3,0,0,0,0,2,1,6,0,0,0,0,1,0,2,0,2,0,2,111.2188,124.625
SD54,Bulkley Valley,0,0,0,0,0,0,0.375,1,1,0,0,1,0,0,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,12,0,1,2,2,1.125,0,0,3.8125,1,0,0,0,0,6,0,0,0,0,0,16.125,0,0,0,1,10,0,0,70.4375,75.375
SD57,Prince George,1,0,2,3,0,0,8.5,19,27,40,12,3,4,15,3,1,12.125,1,4.5,2,5,1.75,0,0,2,0,0,2,0.875,5.75,5,8,0,1,21,19.875,4,1,1,0,5.75,5.875,3,2,1,2,22,1,7,2,1,1,24.125,2,0,1,0,69.75,0,3,389.875,502.25
SD58,Nicola - Similkameen,3,0,2.125,0,6.625,0.75,3.125,16.375,7,0,5,1,3.875,8.875,0,1.25,3.875,0,3,2,3,0.75,1,0.125,0,4.25,2,0,0,0,6,0,3,0,5,6,2,0,0,0,8.75,0,1.125,0,0,2.125,30.375,17.125,2,4,1,0,2,10.625,0,0,0,1,0,1.125,182.25,99.5
SD59,Peace River South,2,2,2,0,0,1,5,3.375,4,2,0,2,1,3,0,0,1,0,2,0,1,4,0,0,0,3,0,1,0,0,0,0,13,0.5,0,27.75,1,1,1,0,2.875,13,1,5,1,4,3,0,2,1,0,5.875,2,2,0,0,0,5,0,0,131.375,148.875
SD60,Peace River North,7,2,0,1,2,2,2,10,0,0,4,6,1,5,0,1,1,0,1,3,1,1,0,1,1,0,0,0,0,0,0,3,16,1,35.125,0,0,1,0.875,1,1,2,0,1,6,5,7,0,2,0.5,0,15.875,1,1,0,0,2,8,0,0,162.375,171.625
SD61,Greater Victoria,0,0,7.25,2.0625,0,0,4,7,0,0,2,10,1,12,8.25,6,20.625,1,3,0,10,3.625,8,1,2,1,0,1,1,0,0,1,8,0,0,0,0,162.3125,111.875,7,1.875,28.875,11.375,16.125,20,12,10.125,2,1,0,38.125,0,4,0,0,6,0,3,0,17,573.5,661.2503
SD62,Sooke,0,0,1,0,0,1.375,0,8.9375,0,0,4,0,0,10,1,1,2,0,12.25,2,3,0,3,1,2,0,0,0,0,0,0,0,3,0,2.125,3,167.4375,0,54,1,1,11,2,5,16,2,5.5,0,1,1,31,0,6,3,0,1,0,6.0625,0,3.875,378.5625,349.1875
SD63,Saanich,1,1,3.5,0,0,1,1,9.375,1,1.25,0.25,1.125,1,10.125,1,3,16.375,2,2.875,0,2,8.5625,1.125,1.375,0.125,2,0,0,1,0,0,0,1,0,0,1,239.5002,78.25,0,14.625,0,9.5,4.125,5.6875,7,8,2,1,1,0,59.375,0,1,0.5,0,1,0,0,0,3.375,511.0002,238.875
SD64,Gulf Islands,0,0,0,0,0,0,0,0,1,1,0,2,1,3,1,0,22.3125,4,0,1,1.875,5,2,1,1,0,0,0,0,0,0,0,5,0,1,1,16.1563,0,1,0,0,3,4.25,0,3.25,1,0,0,1.125,0,6.875,0,0,0,0,0,0,2.125,0,1,93.9688,95.0625
SD67,Okanagan Skaha,0,1,1.625,0,1,7.875,0,35.875,5,4,5,4,2,14.125,7,2,6.25,0,3,3.375,6,4,2,1,0,3.125,0,1,1,2,50.25,3.125,7,6.375,6,6,5,1,2.875,0,0,2,6,0,1,2,11,0,6,4,2,1,3,14.625,0,0,0,3,0,5,271.5,213.25
SD68,Nanaimo - Ladysmith,2,2,0,0,0,0,8.625,1,1,0,1,7,5.875,10,6,4,11,1,2.125,8,11.125,1,1,5.0625,10.25,0,1,2,0,4,0,1.125,21.75,2,3,6.875,22.875,9.125,2.125,4.0625,3,0,53.125,34.875,34.625,34,13,0,2,0,40,2,19.25,3.625,7.3125,10,0,1.5,0,13.25,450.5625,382.875
SD69,Qualicum,0,1,1,0,0,0,1,11,2,0,3.125,1,4,7,1,0,1.125,1,1,0,5,0,0,2,4,0,0,0,0,0,0,3,4,0,0,5,4.75,6,3,1,1,45.75,0,9,24.125,6,7,0,0,1,2,0,0,1.25,0,2,1,3.75,0,1,177.875,188.5
SD70,Alberni,1,0,0,0,0,0,0,1,0,1,1,0,1.875,4,4,0,6.25,1,2,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,2.875,7.375,2,0,0,5.625,18,8,0,6,5,2,0,0,1,5,0,3,0,4,3,0,0,0,2,106,151.25
SD71,Comox Valley,6.125,4,2,0,0,1.125,5.875,5.75,4,2.5,2.1875,2,3,11.5,4.375,4,21.375,0,2,10.375,6,3.1875,6.1875,10.75,17.625,10.875,1,0,2.875,4,0,4.125,4.875,1,3,6,22.125,11.25,12,1,0.875,41.375,39.625,16.5625,0,59.625,2.125,1,0,0,10.25,4.25,6,1,3.375,29.5,0,2,0,6.25,443.875,280.9375
SD72,Campbell River,0,3,0,0,2,4,1.625,6,1,2,2,6,2,8.25,3,2,5,0,1,2.875,2,0,2,0,5,3,3,1,0,2,0,2,7,1,2,3,5,7.25,1,5,1.75,18.75,8,2,44.25,0,2,0,3,0,2,0,0,0,11,29,2,1,0,6,233.75,253.125
SD73,Kamloops - Thompson,9,4,8.375,0,6,3,20.125,24.125,48.25,12.375,12.6875,19,11,30,4,7.125,17.125,4,2.75,8,4,1.5625,0,0.875,3,5,1,2.125,1,1,4,2,49.375,15.125,7.125,6,4,3,4.25,0,12.875,8,4.125,1,3,1,0,30.125,5,7,3,0,11.125,28,0,0.875,0,5.75,0,5,491.25,390.5625
SD74,Gold Trail,2,0,0,0,0,0,0,1,6,0,0,2,4,7,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,2,8,0,2,2.125,0,0,0,1,0,0,0,1,1,14,0,0,3.25,1,0,3,0,0,0,0,1.25,0,0,67.625,118.25
SD75,Mission Public,0,0,0,0,1,1,1,1,1,1,13.125,73.375,12,26.25,9,2,9.625,0,8.125,43.5,14.125,2,0,1,3.125,2,0,0,1,0,3.25,0,0,6,1,2,0,2,1,0,4,1,1,0,1,1,1,3,0,8,0,0,0,0,0,0,0,0,0,4,265.5,286.625
SD78,Fraser - Cascade,0,0,0,0,0,0,0,3.125,2,0,42.375,8,3,8,2,2.25,1,0,1,3.875,3,0,0,3,0,1,0,0,0,0,0,0,2,2,1,0,0.875,0,0,0,1,2,0,0,3,0,8,4,15,0,0,0,0,0,0,0,0,5,0,1,128.5,150.8125
SD79,Cowichan Valley,0,1,1,0,0,1,1,2,1,3,1,5,1.375,3,4,2,4,1,0,3.125,4,3.875,0,0.125,1,0,0,1,0,0,1,0,4,1,1,3,31.75,24.875,17.5,7.125,2,35.375,5,12,11,8,5,2,2,1,0,0,0,1,1.375,3.125,0,2.375,0,5,232,259.5
SD81,Fort Nelson,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2.375,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,16.375,41
SD82,Coast Mountains,0,1,0.5,0,0,0,2,5.75,3,3,2,4,0,4,3,3.5,6,1,1,1,1,4,0,2,1,0,0,5,0,29.125,1,13,35,1,2,8,4,1,0,0,2,3,1,0,1,0,8,0,0,2,1,1,0,0,0,2,4,4,13.0625,7,196.9375,239.625
SD83,Okanagan - Shuswap,3,4,5,2,5,9.875,52.625,24,5,2,6,4.25,4,10.875,1,0,1.25,1,1,0,1,0,0,0,2,0,0,0,0,3,4,1,6,4,2,10,1.25,0,0.5,1,8,2,0,0.25,3,2.75,26,3,3,2,1,1,2,0,0,0,0,3,0,0,234.625,187.25
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2.9375,15.625,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23.5625,34.5
SD85,Vancouver Island North,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1.875,0,1,0,0,10,1,1,5.5,20.25,0,0,2,0,6,0,2,0,0,0,0,1,0,0,64.625,115.5
SD87,Stikine,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,17,15
SD91,Nechako Lakes,5.375,5,2.0625,0,1,2.25,8.625,16.25,6.375,9.25,6.5625,17.25,9,9,20.875,17.125,67.875,1,7.75,14.5,2,6.5,1.875,4.125,3.625,2.25,0,0,10.4375,1,2,5,114,2,0,2,3,2,3,7.75,2,6.75,1,2,4,0.25,6.25,2.125,2.875,2,8,2,7.125,1.25,2.375,1,1,0,0,2,453.6875,214.5625
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,39,29.3125
SD93,Conseil Scolaire Francophone,6,0,6,0,7,5,0,9,0,0,0,6,5,6,3,10,11,3,5,3,7,4,2,2,3,1,0,0,0,0,0,0,0,0,1,0,5,7,1,1,1,3,1,3,4,5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,141,313.5
