DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,ENTER_PUBLIC,LEAVE_PUBLIC,NET_INDEPENDENT,FORECAST_ENROLMENT
42,2016,14028.1,78.5,-60.6,18,14253
42,2017,14252.9,88.3,-90.8,-3,14390
42,2018,14389.5,82.9,-66.1,17,14567
43,2013,30346.6,189.5,-175.8,14,30331
43,2014,30331.4,174.1,-263.8,-90,30250
43,2015,30249.9,217.9,-179.1,39,30621
43,2016,30620.6,223.6,-180.5,43,30591
43,2017,30591.4,190.3,-189,1,30609
43,2018,30609.2,248.3,-198.5,50,30656
44,2013,15093.7,114.3,-140.9,-27,15138
44,2014,15137.8,125.8,-219.6,-94,15081
44,2015,15080.7,141.3,-163,-22,15261
44,2016,15260.9,109.6,-172.6,-63,15055
44,2017,15055.3,128.3,-176.1,-48,15120
44,2018,15119.8,151.4,-177.8,-26,15126
45,2013,6684.9,128.3,-140.4,-12,6677
45,2014,6676.9,99.4,-173.3,-74,6727
45,2015,6726.6,109.5,-152.4,-43,6787
45,2016,6787.1,119.3,-172.3,-53,6811
45,2017,6811,111.4,-142.9,-32,6898
45,2018,6898.1,120.4,-148,-28,6917
46,2013,3074.3,24.4,-22.6,2,3043
46,2014,3042.6,45.3,-22.6,23,3027
46,2015,3027.3,45.3,-8.1,37,3121
46,2016,3120.9,22.8,-14,9,3140
46,2017,3140.4,5.9,-11.6,-6,3157
46,2018,3156.9,17.1,-5,12,3256
47,2013,1983.6,51.8,-15,37,1963
47,2014,1962.9,59,-37.8,21,1860
47,2015,1859.6,62.5,-23.9,39,1854
47,2016,1853.8,56.8,-15.9,41,1920
47,2017,1920.4,66,-12.9,53,2048
47,2018,2047.5,53.8,-21.3,33,2056
48,2013,4243.9,33,-58.8,-26,4369
48,2014,4368.9,26.1,-85.5,-59,4387
48,2015,4386.8,77.9,-39.1,39,4604
48,2016,4604,61.4,-46.6,15,4717
48,2017,4716.7,51,-37.4,14,4904
48,2018,4903.7,59.5,-46.6,13,5044
49,2013,193.8,21,-10.5,11,218
49,2014,218.1,12,-15,-3,194
49,2015,193.6,19.6,-14,6,207
49,2016,207,23.4,-17,6,221
49,2017,220.5,21,-15.3,6,235
49,2018,235.1,32.1,-10,22,265
50,2013,576.5,7,-8,-1,566
50,2014,566.3,6,-4,2,546
50,2015,545.9,4,-6,-2,545
50,2016,545,8,-4.1,4,517
50,2017,517.4,4,-4,0,511
50,2018,510.5,5,-6,-1,461
51,2013,1291.9,10,-17,-7,1263
51,2014,1262.6,25.3,-14.8,11,1245
51,2015,1245,21,-11,10,1248
51,2016,1248.1,8,-17,-9,1286
51,2017,1285.8,6,-20.3,-14,1284
51,2018,1284.1,21.9,-5,17,1250
52,2013,2096,31.1,-36,-5,2084
52,2014,2083.6,46.9,-27.3,20,2042
52,2015,2041.5,54.1,-19.9,34,2047
52,2016,2046.5,52.8,-33.1,20,1979
52,2017,1978.9,58.5,-27,32,1961
52,2018,1960.5,37.4,-22,15,1994
53,2013,2349.4,43.4,-20,23,2347
53,2014,2346.9,31.8,-33.3,-2,2284
53,2015,2284.4,34.1,-13.8,20,2218
53,2016,2218.4,35.1,-13.4,22,2312
53,2017,2312.1,19.1,-21.8,-3,2313
53,2018,2312.9,16.1,-15.1,1,2337
54,2013,2214.3,64.9,-20.1,45,2188
54,2014,2188.4,53.3,-47.4,6,2070
54,2015,2070.1,61.3,-22,39,2064
54,2016,2064.4,52.6,-23,30,2003
54,2017,2002.8,57.3,-30.6,27,1969
54,2018,1969.4,47.4,-19.9,28,1948
57,2013,12917.7,120.6,-91.4,29,12664
57,2014,12664,140.6,-140.6,0,12648
57,2015,12647.8,179.1,-68.3,111,12688
57,2016,12687.8,148.6,-69.4,79,12805
57,2017,12804.8,199.1,-77.6,122,12975
57,2018,12975.2,162.1,-95.9,66,13021
58,2013,2110.3,31.9,-24.5,7,2107
58,2014,2106.6,25.1,-45.9,-21,2047
58,2015,2047.1,45.9,-26.4,20,2062
58,2016,2062,37.1,-22.3,15,2092
58,2017,2092.3,34.8,-33.1,2,2040
58,2018,2040.4,52.9,-34,19,2061
59,2013,3714.6,66.3,-58.9,7,3604
59,2014,3604.4,53.1,-99,-46,3482
59,2015,3481.9,96.5,-50,47,3492
59,2016,3492.4,106.9,-54.4,53,3464
59,2017,3463.5,117.6,-69.4,48,3488
59,2018,3487.8,115.1,-39.3,76,3577
60,2013,5524.6,39.4,-57.1,-18,5641
60,2014,5641,75.3,-66,9,5673
60,2015,5672.6,91.5,-42,50,5997
60,2016,5996.9,69.1,-80.6,-12,5889
60,2017,5888.5,63,-59,4,6045
60,2018,6044.8,57.9,-93.1,-35,6053
61,2013,18573.6,211.3,-222.3,-11,18400
61,2014,18400.4,196.1,-287.3,-91,18430
61,2015,18429.5,249.8,-217.6,32,18702
61,2016,18702.5,254.1,-193.4,61,18879
61,2017,18879.1,221.5,-191.1,30,19123
61,2018,19123.1,246.1,-211.5,35,19507
62,2013,8968.6,66.4,-80.3,-14,9075
62,2014,9074.6,60.6,-118.9,-58,9135
62,2015,9134.8,82.5,-53.6,29,9515
62,2016,9514.9,94.8,-66.9,28,10087
62,2017,10087.3,94.5,-60.1,34,10459
62,2018,10459.3,81.3,-65.9,15,10832
63,2013,7062.8,111.8,-74,38,6953
63,2014,6953.3,99.3,-73.2,26,6841
