Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD44,North Vancouver,0,1,3,0,0,2,1,5,2,0,6,2,2,30.375,15.125,10,75.75,8,32.875,6,24,0,72,6,0,3.25,0,0,0,0,1,0,0,0,0,0,8.375,2.125,1,6.5,2,5,2,0,4,1,0,0,3,0,1,0,1,0,0,0,0,4.625,2,29,381,361.1875
SD45,West Vancouver,0,0,0,0,0,1,0,2.9375,1,0,0,0,0,7,0.875,10,37.25,21,28,4,10,110.9375,0,5.5,0,12.125,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.875,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,276.5,189.875
SD46,Sunshine Coast,0,0,0,0,0,0,0,1.875,2,0,6,2,2,3,2,3,15,0,3,1,3,6,1,0,3.125,2.125,0,0,0,0,1,0,2,0,0,1,2,2,0,0,0,1,4,1,2.25,0,0,0,3,2,1,0,1,0,0,0,0,0,0,10.25,89.625,96.375
SD47,Powell River,0,0,0,0,0,0,1.875,0,1,1,5.9375,3,1,1,2.5,1,2,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,4,0,5.875,0,0,3,0,3,1,1.125,37.25,6,1,2.125,2,1.125,1,0,0,1,0,2,0,1.25,0,8.125,109.1875,74.75
SD48,Sea to Sky,0,0,0,0,0,1,2,3.625,0,0,3,1,3,5,4,0,18,3,4,5.75,6.75,13.5625,11.125,0,0,0,0,0,0,0,1,0,1,0,2,0.25,3,0,0,0,3,4,0,2,5,2.875,1,0,2,0,0,0,0,0,0,0,0,0,0,29,140.9375,140.25
SD49,Central Coast,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.125,17
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,6,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.25,0,2,0,0,0,0,2,0,0,22.25,32
SD51,Boundary,1,4,4,1,0,3,4,15,2,0,0,5,0,1,1,0,1,2,0,0,1,1,0,0,0,2,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,1,0,0,61,54.1875
SD52,Prince Rupert,0,0,0,0,0,0,0,1,2,0,1,2,0,6,1,0,5.875,2,4,0,0,2,0,0,0,0,0,4.125,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,3,0,3,0,0,0,1,0,23,1,0,0,1.125,2,2,0,74.125,99.75
SD53,Okanagan Similkameen,0,0,0,0,0,2.875,4.25,14.125,0,1,1,4,8,6,2,1.125,7.875,0,0,2,5,1.9375,1,4,0,2.625,0,0,1,0,0,2,4,3.125,0,0,1.875,1.625,0,0,23.625,2.5,0,1,1,0,7.375,0,2,1,2,0,2,3,0,0,0,3,0,0,130.9375,124.625
SD54,Bulkley Valley,2,0,0,0,2,0,0,3,0,3,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,4,0,2,0,0,1,0,2,6.25,3,0,0,1,15,0,0,59.25,126.125
SD57,Prince George,3,0,1,1,1,1,6.875,15.5,18.125,50,7,3,9,16.375,1,0,4,1,5,1,8,5.0625,0.75,0,0,0,0,3,0,5,6,37,0,4,24.125,24.125,0.875,1,0,0,5,6,0,1,3,6,20.125,3,4,0,2,1,48.125,1,1,0,0,96,1,3.125,465.1875,456.25
SD58,Nicola - Similkameen,1.375,1,6.25,0,7.75,0.875,9.5,11.125,8,0,6,7.125,2,13.5,2,4.125,7,1,5.75,1,4.125,1,0,0,1,7.125,1,0,0,2,6,0,13,0,1,0,2,0,0,0,11.9375,2,1,2,0,0,38.625,17.5,4,0,0,0,3,21.25,0,0,0,2.25,0,1,238.1875,148.375
SD59,Peace River South,4,0,0,0,1,1,0,2,8,0,4,4,0,2,1,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,3,13,1,0,27.5,1,2,1,0,4,3,0,1,1,0,7,3,2,1,6,2,2,5.25,0,1,2,6,0,3,130.75,167.625
SD60,Peace River North,0,2,6,0,0,0,12.5,14.25,7,4,3.125,9.0625,2.9375,7,0,0,8.125,0,7,5,3,1,0,0,0,1,0,0,0.875,0,0,2,18.125,2,36.5,0,3,0,2,1,2.875,3,4,0,4,1,5,0,0,2,3,17.6875,5,6,0,1,1,2,0,0,216.0625,158.3125
SD61,Greater Victoria,3,2.25,5,0,1.25,2.125,4.375,8,3,0,3,2.5,7,15,6.5,3.75,37.1875,2,7.875,2,6,4,2,3,1,3.125,1,0,0,4,0.375,2.125,10.375,0,3,2,0,129.375,85.75,6.625,2.75,25.875,5,8,10.375,13,1,0,2,1,36.75,1,6,0,0,4,0,2,0,20.625,518.9375,612.594
SD62,Sooke,1,0,2.5,0,0,0,2,5,1,1,6,1,0,13,1.875,5.875,0,0.75,5,5,1,0,0,3.25,1,3,0,0,0,0,0,1,2.75,0,1,1,152.375,0,43.625,1,5.75,9,1,4,6.0625,5.5,3,0,2,0,30.25,1,1,1,0,1,0,0,0,8.25,340.8125,348.1875
SD63,Saanich,1,0,2.875,0,0,2,7,2.375,1,0,1,2,3.75,3,2,7.75,5.75,7.5,4.625,2.75,3.75,5.375,2.125,0.875,2,2,0,2,0,2,0,4,3,1,2,0,225.9377,55.875,0,13.5625,1.875,21.375,6,3.625,11.0625,3,2.9375,0,1,2,51.125,0,1.875,1.5,0,0,0,10.5,0,9.625,509.3752,206
SD64,Gulf Islands,0,0,3,0,0,1,0,0,0,1,1,1,2,0,0,2,21.125,7,0,0,2,5,4,0,1,0,0,0,2,0,0,0,1,0,0,0,14,1,2,0,0,3,2,0,3.25,4,0,0,0,0,5,0,0,2.25,0,0,0,3,0,4,97.625,119.625
SD67,Okanagan Skaha,4,0,7,1,1,5,2,34,6,6,2,11,6.875,8.875,1,3,2,4,5.875,0,6,1,2,0,0,1,0,0,1,1,53,1,7.875,12,10,0.375,1,0,0,0,0,2,2,5,1,1,10,2,7,2,2,0,6,3,0,0,0,3.625,0,5,259.5,182.5
SD68,Nanaimo - Ladysmith,1,1,3,0,2,0,0,7.25,0,0,2.9375,5,8,26.75,2,2,10,0,6,1,10.875,4,2,2,4,1,0,2,2,3,1,0,9,6,7,7.375,16.125,13.5,4.5,8,2.8125,0,48.625,27.875,23.375,24.25,7,0,7,3,41,1,4,2.125,6.4063,11,0,2,0,17,409.7813,424.6875
SD69,Qualicum,0,0,1,0.125,0,1,1,2,1,0,2,3,2.875,1,4,3,1,0,1,4,1,2,0,0,4,2,0,1,0,1,0,0,0,0.25,1,1,5,2,3.25,1.25,3,41.875,0,17,18.25,2,4.75,0,1,2,12,0,0,6,1,1,0,2,0,2,166.625,168.875
SD70,Alberni,0,0,0,0,0,0,0,3,0,0,1,5,2.125,1,0,1,2,1,2,1,1,5,0,2,0,1,0,0,0,1,0,0,0,0,1,1.0625,6,2,0,1,0,21.5,10,0,8,4,1,0,1,0,8,0,0,0,6,1,0,3,0,2,105.6875,131.9375
SD71,Comox Valley,2,4.375,2.125,0,0,3,2,4.875,2,3,4.25,2,4.875,10.125,5,2.875,38.5,3,4.25,4,18.25,3.0625,1,7.5,27.5,10.875,0,1,0,2,3,1,7,0.875,3,3,13.75,11.75,4,3.5,0,57.625,34.375,16.1875,0,64.875,2.25,0,1,0,17.5,0,4,1,10.625,23.0625,0,5.5,0,7.375,469.6875,256.1875
SD72,Campbell River,2,0,3,3,1,3,3.75,2,0,0,0,3.125,5,2.875,1,1,5,2,2.875,1,3,2,0,1.125,4,2,3,4.9375,0,0,0,0,4,2.5,4,2,7,0,1.625,1,1.75,27.9375,5,7.125,30.125,0,1,0,1,0,6,0,2,7.625,16,15,0,1,0,4.25,209.625,206.625
SD73,Kamloops - Thompson,0,5.75,4.125,0,3.125,3,19.875,21.625,56.1875,11.25,10,14,10,31,3,19.5,8.375,2,2,6,6.625,6.5625,1.5,2,1.125,7,0,2,2.625,5,1,1,40,35.375,5,12.75,2,1,3,0.75,6.625,6,7,0,2.875,2,0,23.375,3.875,1,8,0,7,33.375,0,0,1,19.25,0,4,492.5,391.9375
SD74,Gold Trail,0,1,0,0,0,0,0.75,4,10,0,6,0,1,8,0,0,2,0,0,0,2.25,2,0,0,0,1,0,0,0,0,0,0,1,6,0,2,1,1,1,1,2,1,0,0,0,0,14,0,2,1,0,0,0,1,0,1,0,4,0,0,77,86.625
SD75,Mission Public,1,0,4,0,0,2,0,3,1.875,4,16,82,20.6563,25,14,1,9,6,3,42.25,20.375,1,0,2,0,1,0,1,0,0,0,1,0,3,1,0,2,2,0,1,0,2,0,0,3,0,5,0,0,7,1,0,2,4,0,0,0,1,0,5,300.1563,272.75
SD78,Fraser - Cascade,0,2,0,0,0,0,1,3,5,1,32.75,13.125,1,12,1,1,1,0,2,6,2,0,0,2,0,0,0,0,0,0,0,0,1,4,2,4,0,0,0,0,1,1,0,0,0.5,0,4,3,7,0,0,0,0,0,0,0,0,1,0,0,114.375,121.75
SD79,Cowichan Valley,0,0,4,0,0,0,0,8,7,1,7,3,0,11,0,0,9,1,2.125,3,1,3.75,0,1,0,0,2,0,0,0,0,0,4,1,0,3.1875,38,49.5,20.375,9,2,57,2.875,9,4.125,3,3,1,0,2,0,3,1,0,1,3,0,2.5,0,1,284.4375,277
SD81,Fort Nelson,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,15,45.6875
SD82,Coast Mountains,0,2,0.625,0,0,1,0,5,3,1,0,1,1,9,4,0,3.875,2,4.625,3,1,0,0,1,0,4,0,0,0,17.875,0,14,17.625,1,4,1,2,3,0,0,0,4.875,0,2,0,0,6,0,0,1,4,0,0,0,0,0,7.75,6,25,1,165.25,234.5
SD83,Okanagan - Shuswap,2,1,3,7,3,0,40,18.75,11.125,10,5.5,7,2,4,0,0,1,0,0,10,3,0,1,2,2,4,1,0,0,0,2,0,13.25,2.75,9,7.125,1,1,0,0,3,1,0,1,0,1,39,0,6.125,0,0,0,3,0,0,2,0,1,0,1,232.625,227.25
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1.25,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,32.25,47.1563
SD85,Vancouver Island North,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,8.125,0,0,0,0,11,4,0,10,5.125,0,0,0,1,1,0,2.125,0,0,0,0,0,0,0,51.375,77.1875
SD87,Stikine,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,16.875
SD91,Nechako Lakes,1,6,1.5,1,0,2.25,3.25,13.625,8,15.875,15,18.625,8.5,18,17,8.25,59.5,7,6.125,7.875,12.75,6.875,3.25,1.75,0,2,0,0.9375,5.3125,1,2,20,119.125,1,5,2,7.25,6,7,5.625,4,11.625,0,0,6,1,11.5,2.875,0,0,2.125,4,14,3.375,1.125,1.125,0,0,0,3.875,493.875,263.5
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,49,37
SD93,Conseil Scolaire Francophone,0,0,3,0,4,0,0,3.5,0,0,3,2,2,14,3,1,15,1,5,7,8,2,5,2,1,2,0,0,0,0,1,0,1,0,2,0,5,5,2,0,1,5,1,1,8,8,10,0,13,0,0,0,2,1,0,0,0,2,0,0,151.5,370.625
