Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,36.375,9.25,0,0,3,3,6.375,2,4,4,4,3,6,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,4,0,0,5,1,5,0,3,2,1,0,0,0.875,0,0,3,1,5,1,0,1.25,2,0,1,0,1,0,0,2,0,3,132.125,117.75
SD06,Rocky Mountain,21.125,0,7.375,0,3,0.75,3,4,0,1,2,0,1,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,2,1,0,0,0,0,2,3,0,4.25,0,0,0,0,0,0,7,0,0,0,2,0,1,77.5,101
SD08,Kootenay Lake,25.125,7.375,0,6.5,1,36.75,7,11.375,1,1,3,1,0.9063,5,1,1,7.125,4.625,9,2.375,11,1.875,0.875,0,1,1,0,0,3,0,1,1,2.125,0,2,2,0,2,1,1,1,1,3,0,0,1,9,0,0,0,0,0,0,1,1,2,2,0.25,0,1.875,186.1563,157.75
SD10,Arrow Lakes,0,0,4,0,0,0,4,6,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35.625
SD19,Revelstoke,1,0,0,0,0,0,5,3,1,0,2,0,0,1,1,1,0,0,0.875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.875,0,0,0,5,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,34.75,50.5
SD20,Kootenay - Columbia,9.25,2,37,6,1,0,6,9.125,3,0,0,0,2,1,1,0,0,0,0,4,0,2,2,0,0,2,0,0,5,0,1,0,11,3,0,2,0,0,0,0,1.75,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,4,122.125,99.625
SD22,Vernon,4.125,7,2,2,7,4,0,59.625,11,6,5.9375,4,2.125,11,1,4,3,1,4,6,10,0,0,0,3,1,0,2,3,1,5,6,13.125,3,3,2,3,0,1,0,4,4,0,0,3.0625,0,15,0,2.125,3,3,0,2,49.375,0,0,0,4,0,1,291.5,234.125
SD23,Central Okanagan,14.125,2,9.875,0,1,9,48.125,0,10,3,12,10,14.625,20.25,4,5.875,14.5,4.125,8.875,10,8,9.9375,1.125,2,1,4.125,0,0,13,0,16,5,34,20.125,8,15.375,5,4,4,4,42.4375,5,3,1,11,1,23.125,2.125,1,1,1.125,5,9,21.875,0,1,0,2.5,0,19.75,507,461.125
SD27,Cariboo - Chilcotin,0,3.875,0,0,1,0,3,14.1875,0,16.125,5,6.125,4.875,6,1,4,3,0,3.875,4,2,0,1,0,1,0,4,2,0,0,1,4,9,1,2,6,4,0,0,1,1,1,0,0,0,4,20.125,4.125,4,1,0,3,6,9,0,0,0,9,0,0,176.3125,249.3125
SD28,Quesnel,0,1,1,3,0,0,3,4,15,0,1,5,4,3,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,4,19,1,7,3.125,0,0,0,0,2.75,2,2,0,0,1,5.375,2,2,0,0,0,4,1,0,0,0,3.125,0,0,108.375,165.25
SD33,Chilliwack,0.5,1,3.125,0,1,0,5,11.875,8,3,0,92,49.25,53,7.25,18.125,11.375,1,14,29.5,23.625,3.0625,1.5625,3,1,5.125,0,0,1,5,4,0,14.625,7.375,3,4,1,5,0.625,0,4.875,4,3,0,0,3,15,7,13.375,61.375,2,0,13,2,0,2,0,1.125,0,9,532.75,394.875
SD34,Abbotsford,1,1,0,0,6,0,4.75,16,8,1,66.875,0,109.125,105.375,14,5.8125,10,7,9,19,17.125,3,1,1,4,1,0,0,0.875,7.875,1,3,1,6,1,2,4.125,1,1,1,7,5,3,4,1.125,1,11,0,83.5,7,4,0,2,9.25,0,0,0,1.375,4,9,593.1875,607.6875
SD35,Langley,4.125,0,0,2,0,0,1,14.5,1,1,38.125,105.625,0,352.75,33.25,25,25.25,22,34.625,18,46,6,3,2,0,2,0,0,0,2,2,0,3,1,0,0,4,1,0,3,2,2.125,0,3,1,0,4,0,19.25,3,3,0,1,0,0,0,0,2.375,0,13.375,807.375,634.4376
SD36,Surrey,3,3,3,2,0.625,4,4,17,8,11,36.625,80.75,219.0625,0,216.375,149.375,222.1875,60,203,23.75,78.25,20,14,8,3,10.125,0,1,2,6,4.25,0,15.25,4,3,2,10.875,7.375,3.875,5,7.0625,5,4,3,6.0625,5,25.125,3,14.125,7,3.875,2,4.125,8,0,1,0,2.375,0,27.25,1592.75,1601.25
SD37,Delta,0,0,0,0,1,0,1,2,0,1,7.875,4.25,17,319.25,0,69.375,65.3125,15,36.75,12,10,5.75,1,5,1,0,0,1,3,0,1,1,2,1,0,0,2.0313,5,1,0,2,9,2,0,0,1,9,1.125,3,0,2,1,1,0,0,0,0,0.125,0,6,628.8438,471.5
SD38,Richmond,1,0,0,0,0,0,0,5,3,0,7.375,0,8,44.125,24,0,126.8125,9,26.875,1,14,2,4.0625,0,0,4,0,0,0,0,0,0,0,0,0,1,3.75,1,1.375,0,0,2,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,12.875,308.25,576.0625
SD39,Vancouver,1,1,3.125,0,0.75,0,4,19.75,4,0,11.75,16.375,14.875,120.25,27.875,135.75,0,33.6875,185.25,14,44,38.8125,34.75,10,1,19.5,1,0,0,4,0,3,4,3,0,1,16.25,7,1,16.8125,2,11,0,1,3,1,7.375,0,3,0,4,0,8,4,0,0,0,8.125,1,33,885.0625,1386
SD40,New Westminster,0,0,3,0,0,0,0.25,0.5,0,0,1,8.875,5,33.125,10,6.875,57,0,96.875,10,18,15,4,1,1,0,0,0,1,3,1,0,1,0,0,0,2,0,1,21,2.875,1,0,0,0,3,2,0,5,0,0,0,2,0,0,0,0,11,0,2,330.375,416.5625
SD41,Burnaby,0,1,3,0,0,0,0,6.125,4,0,2.25,10,17.125,69.25,10.875,27,259.25,95.375,0,12.875,91.625,24.0625,4,7.375,0,5.125,1,0,0,0,1,1,0,3,1,2.0625,5,3,2,1,2.875,1,0,2,1,5,7,1.125,0,1,0,2,2,0,0,0,0,0.625,0,12,708,1067.5
SD42,Maple Ridge - Pitt Meadows,3,1,0,0,0,0,3,1,0,1,13.5625,26.125,26.875,40,10,10.75,27,9,27.5,0,139.625,7.75,2,3,0,2,0,0,0,0,1,0,2,1,1,1,1,4.0625,1,0,0,3,0,1,3,1,4,4.25,33.375,1,2,0,0,2,2,2,0,3,0,8,435.875,388.25
SD43,Coquitlam,0,0,2,0,0,3,0,9.25,2,2,13,15,17,87,9,18.875,128.875,66.5,241,89.125,0,22.8125,4.75,1,3,2,0,0,1.5,0,1,1,1,1,0,3,10.125,11,1,0,2,9.5,3,0,4.1875,5,5,1,12,4,1,0,4,1,0,0,0,4,0,12,835.5,694
