Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD54,Bulkley Valley,0.999988273,0,0,0,0,0,0,0.999988273,0.749991205,0,1.999976546,0.999988273,0.999988273,5.999929637,2.999964819,0.999988273,0.999988273,0,0,3.999953092,1.999976546,0,0,1.999976546,0,0,0,0.999988273,0,0,0,0,13.87483729,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999941364,0,1.999976546,0,2.999964819,0,10.999871,1.999976546,0,0,6.99991791,10.999871,0,0,81.62404277,73.125
SD57,Prince George,4.999941364,0.999988273,1.999976546,1.999976546,1.499982409,4.124951626,4.999941364,22.87473174,23.87472001,18.99977718,10.999871,9.999882729,9.499888592,21.999742,3.999953092,0,2.999964819,0,4.999941364,7.999906183,9.999882729,1.999976546,0,0.999988273,0,0.999988273,0,0.999988273,0,16.99980064,1.999976546,10.999871,0,0.999988273,13.12484608,14.87482556,6.99991791,5.999929637,0,0,8.124904717,6.99991791,1.999976546,5.999929637,5.249938433,0.999988273,20.99975373,0,6.99991791,1.999976546,0.999988273,1.999976546,16.99980064,5.999929637,0.999988273,0.999988273,2.999964819,49.24942244,2.999964819,8.999894456,397.4953385,324
SD58,Nicola - Similkameen,1.999976546,0,0.999988273,0,1.124986807,3.499958955,4.24995016,14.37483142,6.99991791,2.12497508,4.999941364,7.999906183,3.749956023,8.249903251,2.874966285,4.374948694,8.624898854,0.999988273,0,1.999976546,2.999964819,2.812467017,0,0.999988273,0,5.374936967,0,0,1.999976546,0.999988273,2.12497508,0,5.999929637,0,1.999976546,1.999976546,2.999964819,2.12497508,0,0,9.062393723,0,1.999976546,0.999988273,0,0.999988273,25.62469949,4.624945762,6.99991791,0.999988273,0,0.999988273,1.999976546,2.249973614,0,0,0.999988273,4.999941364,0,0,174.2479565,98.125
SD59,Peace River South,2.999964819,0,1.999976546,0,0,0,1.999976546,1.999976546,4.999941364,1.749979478,1.999976546,0,1.999976546,6.99991791,0,0,0,0,0,0,2.999964819,0,0,0,0,3.124963353,0,0,3.999953092,0,0,0,14.99982409,1.249985341,0,15.06232336,0,0,0,0,0,0,0.999988273,4.999941364,0,0,8.124904717,0,1.999976546,0,2.999964819,4.999941364,0,3.999953092,0,0,0.999988273,1.999976546,0,0,99.31133535,127.375
SD60,Peace River North,1.999976546,0,1.999976546,0,0,0,1.999976546,3.999953092,2.999964819,9.12489299,1.187486074,6.99991791,0,6.99991791,0,0.249997068,0,0.999988273,2.999964819,1.999976546,13.74983875,0,0,0,1.999976546,0.999988273,0,0,0.999988273,0,0,0,7.999906183,0,18.37478451,0,0,0,0,0,0.999988273,5.874931103,0,0.999988273,3.124963353,2.999964819,4.999941364,0,0,3.999953092,2.999964819,15.12482263,4.999941364,2.999964819,0,0,0.999988273,0.999988273,0,0,138.8108721,176.9375
SD61,Greater Victoria,0,2.999964819,2.999964819,0,0,1.124986807,0,5.93743037,2.999964819,0,0.999988273,1.124986807,2.999964819,19.37477279,11.12486954,4.999941364,37.99955437,3.124963353,8.999894456,1.999976546,5.999929637,4.999941364,4.999941364,0.999988273,0.999988273,1.999976546,0,2.999964819,1.999976546,0.874989739,1.999976546,0.999988273,3.999953092,1.999976546,5.999929637,0,0,111.1236968,92.87391084,13.24984462,5.999929637,12.99984755,0.999988273,10.12488126,11.06237027,3.874954557,7.124916444,0,0,0.999988273,26.12469363,0,3.999953092,3.999953092,0.999988273,5.124939898,0,0.999988273,0,31.4996306,492.86922,670.8753
SD62,Sooke,2.999964819,0,0.999988273,0,0,0.999988273,3.999953092,4.999941364,2.999964819,0,6.093728537,1.999976546,4.999941364,11.12486954,6.99991791,1.999976546,5.874931103,1.999976546,3.999953092,3.124963353,9.74988566,7.374913512,1.999976546,0,0,2.999964819,0,0,0.999988273,0.999988273,0,0,3.999953092,0,3.124963353,2.999964819,153.3107021,0,42.8744972,4.124951626,1.124986807,18.87477865,4.999941364,3.999953092,15.99981237,11.87486074,4.999941364,0,0,0.999988273,33.87460274,0,0.999988273,0,0,0.999988273,0,3.999953092,2.999964819,11.12486954,416.6514138,315.625
SD63,Saanich,0.999988273,0,3.124963353,0,0,0,0.999988273,3.999953092,1.374983875,0,0.999988273,0.999988273,0.999988273,7.249914978,6.624922308,4.87494283,8.624898854,0,1.999976546,2.374972148,5.999929637,4.749944296,4.24995016,0,0.999988273,0,0,0,0,0,0,1.124986807,3.124963353,0.999988273,2.999964819,0.374995602,294.9343412,53.37437406,0,6.624922308,0.999988273,2.999964819,0.374995602,3.999953092,4.999941364,0,0.999988273,0,0,1.999976546,30.49964232,0,1.999976546,3.999953092,0,7.249914978,0,1.124986807,0,6.99991791,493.0570178,218.125
SD64,Gulf Islands,0,0,0.999988273,0,0,0,0,0,0,0.999988273,0.999988273,0,0,2.999964819,0.999988273,0,18.99977718,16.99980064,1.999976546,2.999964819,1.999976546,0.999988273,0,0,2.999964819,0,0,1.999976546,0,0,0,0,0,0,0,0.999988273,5.999929637,0.999988273,4.87494283,0,0,0.999988273,0,1.999976546,22.99973028,0,0.999988273,0,0,0,13.24984462,0,0,0.999988273,0,0,0,0.999988273,0,2.999964819,114.1236616,90.125
SD67,Okanagan Skaha,1.999976546,3.124963353,4.999941364,0,0,0,3.749956023,41.99950746,12.99984755,0.999988273,4.062452359,1.999976546,7.999906183,14.99982409,1.749979478,1.999976546,4.999941364,0,4.999941364,4.999941364,9.999882729,1.999976546,1.999976546,1.999976546,0,1.999976546,0,0,0.999988273,2.999964819,27.99967164,1.999976546,4.999941364,7.124916444,0,9.999882729,1.999976546,1.999976546,0,0,0,1.999976546,0,1.999976546,0.999988273,3.999953092,21.999742,0.999988273,1.999976546,1.999976546,0.999988273,0,0.999988273,1.999976546,0,0.999988273,0,2.999964819,0,7.999906183,247.8095939,206.5625
SD68,Nanaimo - Ladysmith,2.999964819,0.999988273,0.374995602,0.999988273,0,0,4.999941364,13.99983582,1.999976546,0.999988273,2.062475813,8.124904717,14.12483435,20.99975373,10.6248754,0.999988273,8.999894456,2.999964819,19.12477572,6.99991791,15.99981237,14.37483142,1.999976546,4.124951626,4.999941364,2.999964819,0,0,1.999976546,2.874966285,0,0,5.624934035,0.999988273,5.999929637,3.999953092,18.99977718,6.874919376,6.124928171,1.874978012,0.999988273,0,34.24959835,24.62471122,46.81195102,18.12478745,2.999964819,0,3.999953092,0,49.1244239,0.874989739,4.999941364,0.999988273,9.999882729,3.999953092,0,1.999976546,0,10.12488126,436.244884,387.875
SD69,Qualicum,0,0.999988273,0.999988273,0,0.999988273,0,0.999988273,0,0,0,3.18746262,0.999988273,1.999976546,5.999929637,9.999882729,0.999988273,7.999906183,0,0,5.999929637,0,4.999941364,0,2.999964819,0.999988273,1.999976546,0.999988273,0,0,2.12497508,0.124998534,0.999988273,0.999988273,0,0.999988273,0,4.87494283,3.999953092,4.999941364,3.624957489,3.999953092,42.24950453,0,11.99985927,14.99982409,2.874966285,1.999976546,0,2.999964819,0,5.374936967,0,1.999976546,0.999988273,0.999988273,0.999988273,0,0,0,2.999964819,170.4355013,123
SD70,Alberni,0.999988273,0.999988273,0,0,0,0.999988273,1.999976546,0,0,0.999988273,2.999964819,2.999964819,1.999976546,6.99991791,0,0,2.999964819,0,1.999976546,1.999976546,4.999941364,0,0,1.999976546,1.999976546,1.999976546,0,1.999976546,0,0.999988273,0,0,3.249961887,0,0,1.124986807,7.999906183,2.999964819,2.12497508,0.999988273,0,36.74956903,13.99983582,0,6.99991791,2.999964819,2.999964819,1.999976546,0,0,4.999941364,0,1.999976546,0.999988273,2.999964819,4.999941364,0,0,0,2.999964819,145.2482966,153.5625
SD71,Comox Valley,0.999988273,3.999953092,11.87486074,0.124998534,0,7.499912047,4.999941364,13.87483729,1.999976546,1.249985341,2.187474347,1.249985341,11.87486074,28.62466431,3.999953092,15.12482263,63.87425093,53.8743682,11.12486954,1.999976546,11.62486367,10.56237613,8.749897388,10.999871,21.49974787,19.37477279,0.999988273,1.999976546,0,0,2.374972148,7.999906183,3.999953092,0,0.999988273,6.437424507,24.49971269,19.99976546,9.999882729,3.999953092,5.999929637,50.62440631,18.74978012,23.93721928,0,28.24966871,6.624922308,0,4.999941364,2.12497508,15.62481676,0,1.999976546,0.999988273,4.24995016,10.49987687,0,3.999953092,0,29.74965112,615.1177863,364.125
SD72,Campbell River,0,0,2.874966285,0,0,0.999988273,0,0,0.999988273,1.999976546,0,5.999929637,3.999953092,11.99985927,0,1.999976546,6.062428904,3.999953092,0.999988273,6.99991791,8.124904717,0,0,0,5.999929637,2.249973614,0.999988273,1.999976546,0,0.999988273,0,0.999988273,0.999988273,0,0,0,6.99991791,5.999929637,0.999988273,1.124986807,2.999964819,22.87473174,1.999976546,8.999894456,42.93699647,0,6.99991791,0,5.999929637,0.999988273,2.249973614,0,0,1.999976546,6.749920842,11.12486954,0,3.999953092,0,9.999882729,216.3724625,157.375
SD73,Kamloops - Thompson,4.999941364,0.999988273,1.999976546,0,1.999976546,2.999964819,21.37474933,29.81215038,38.87454411,8.999894456,44.12448254,46.24945762,21.87474347,38.18705217,4.87494283,9.12489299,8.874895922,0.999988273,4.999941364,10.999871,10.999871,0.999988273,0,0,1.999976546,5.999929637,0,0,4.999941364,0,9.249891524,0,19.24977425,18.37478451,7.999906183,8.124904717,6.99991791,1.624980943,4.999941364,0.999988273,9.999882729,6.99991791,1.999976546,0.999988273,5.999929637,0,0,18.49978305,7.999906183,0.999988273,4.999941364,0,16.1248109,34.62459395,0,0,0,5.374936967,1.999976546,9.999882729,531.6187656,381.375
SD74,Gold Trail,0,0,0,0,0,0.999988273,1.999976546,1.999976546,3.999953092,0.999988273,0.999988273,0.999988273,0,1.999976546,0,0,0.999988273,0,1.999976546,1.999976546,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0,1.999976546,0.999988273,0.999988273,0.999988273,0.999988273,0,0,1.999976546,0,0,0,0,0,17.12479917,0,0,0,1.999976546,0,0,0,0,0,0,1.999976546,0,0.999988273,50.12441218,53
SD75,Mission Public,1.999976546,0,0,0,0,1.249985341,2.999964819,0.999988273,0,0,17.06229991,63.49925533,23.99971855,24.99970682,4.999941364,0,7.124916444,4.24995016,3.999953092,52.24938726,14.87482556,0,0,1.999976546,0,1.999976546,0,0.999988273,0,0,0,2.999964819,0,0,0.999988273,2.999964819,0,1.999976546,0.999988273,0,0,0,0,0,0,0,0.999988273,0.999988273,0,2.999964819,0,0.999988273,0,1.999976546,0,0,0,4.24995016,0,4.999941364,256.5594913,293.25
SD78,Fraser - Cascade,0,0,0.999988273,0,0,0,0,1.999976546,0,0,62.93676192,13.99983582,8.999894456,6.99991791,2.999964819,0.999988273,1.999976546,0.999988273,0,1.999976546,2.999964819,0,0,0,0,3.999953092,0,0,0,0,0,0,1.999976546,1.999976546,2.999964819,1.999976546,0,0,0,0,0,2.999964819,0,0,0.999988273,0,2.999964819,2.999964819,3.999953092,0,0,0,0,0,0,0,0,0,0,0,134.9359176,98.125
SD79,Cowichan Valley,0,0,2.874966285,0,0,1.999976546,0,2.999964819,3.999953092,2.999964819,2.062475813,8.999894456,5.999929637,8.999894456,3.874954557,1.999976546,5.999929637,0.999988273,1.999976546,3.999953092,2.999964819,4.24995016,0,0,2.999964819,4.999941364,0,0,0,0,0.999988273,0,3.999953092,1.999976546,0,0,31.12463499,35.99957782,15.99981237,11.24986807,5.124939898,36.9995661,4.999941364,4.999941364,29.99964819,1.999976546,2.999964819,0,0,1.999976546,0,0,4.999941364,0.999988273,1.999976546,3.999953092,0,2.999964819,0,1.374983875,281.9341937,243.75
SD81,Fort Nelson,0,0,0,0,0,0,0.999988273,1.999976546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999941364,7.937406916,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93730137,27
SD82,Coast Mountains,0.999988273,0,0,0,0,0,1.749979478,3.124963353,2.999964819,0.999988273,1.999976546,1.999976546,0,4.999941364,0,0,2.999964819,0,3.999953092,0,0,0.999988273,0.999988273,0,1.999976546,0,0,1.999976546,1.999976546,24.12471708,0,15.99981237,20.62475813,0,0.999988273,2.999964819,0.999988273,1.999976546,2.249973614,0,0,0.999988273,0.999988273,0.999988273,1.999976546,0,9.999882729,0,0.999988273,0.999988273,2.999964819,0,0,0.999988273,0,0,13.99983582,5.999929637,19.99976546,4.999941364,169.8730079,173.75
SD83,Okanagan - Shuswap,3.999953092,0.999988273,4.999941364,3.999953092,15.12482263,1.999976546,68.74919376,20.99975373,3.124963353,1.999976546,7.999906183,4.124951626,11.99985927,9.999882729,0.999988273,0.999988273,2.624969216,0.999988273,0.999988273,4.999941364,8.999894456,0.999988273,0,0.999988273,0,2.999964819,0,0,1.999976546,0,6.99991791,0,11.99985927,3.124963353,7.999906183,22.37473761,1.999976546,0.999988273,0,0,3.124963353,2.999964819,0,0.999988273,1.999976546,0,41.99950746,1.874978012,6.99991791,0,1.999976546,0,0.999988273,0,0,0,0,2.999964819,0,0,309.2463734,196.9688
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0,0,1.999976546,3.999953092,0,0,0,40.62452359,4.999941364,3.999953092,3.999953092,6.124928171,0,0,0,0,0.999988273,0,0,0,0,0,2.999964819,0,0,0,70.74917031,30.25
SD85,Vancouver Island North,0.999988273,0,0,0,0,0,0,0,0.999988273,0,2.062475813,0,0.999988273,1.999976546,0,0,0.999988273,0,0,1.999976546,0,0,0,0,0.249997068,0,1.999976546,0,0,0,0,0.999988273,0,0,0.999988273,0,0.999988273,1.999976546,0,0,0,4.999941364,3.999953092,2.999964819,10.999871,15.99981237,0,0,0,0,1.999976546,0,0,0,1.249985341,0,0,2.374972148,0,0,61.93677365,69.625
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0,0,0,0,2.999964819,0,0,0.999988273,0,0,0,0,6.99991791,31
SD91,Nechako Lakes,0.999988273,1.999976546,5.624934035,0.999988273,0.999988273,4.124951626,12.24985634,19.62476986,10.999871,6.624922308,15.06232336,6.499923774,8.499900319,29.37465552,100.3738229,17.24979771,28.74966284,1.999976546,5.249938433,11.12486954,3.124963353,3.937453824,5.124939898,0,0,1.999976546,0,0,4.999941364,2.374972148,0.999988273,5.874931103,62.37426852,7.124916444,0.999988273,3.999953092,2.999964819,5.124939898,5.374936967,4.24995016,1.999976546,4.999941364,0,0.874989739,3.999953092,5.249938433,8.749897388,0,0.999988273,0.999988273,7.124916444,0.999988273,8.124904717,1.999976546,0,0.124998534,0,0,0,1.874978012,457.2446378,179.5
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0.999988273,0.999988273,0,2.999964819,0,0,0,0,0,0,0,0,0,0,1.999976546,0,0,1.999976546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74980357,0,0,0,0,0,0,0,26.7496863,43
SD93,Conseil Scolaire Francophone,0,0,0.999988273,0,0,0,1.999976546,3.999953092,0,0,0,3.249961887,3.999953092,8.999894456,3.999953092,0,19.12477572,1.999976546,6.99991791,0.999988273,6.99991791,1.999976546,0.999988273,0,0.999988273,4.999941364,0,0,0,0,0,0,4.999941364,0,0,0,3.999953092,1.999976546,0,0,1.999976546,3.999953092,0,2.999964819,4.999941364,10.999871,2.999964819,0.999988273,0.999988273,0,0,0,3.999953092,1.999976546,0,0,0,0,0,0,119.3736001,484.375
