Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD33,Chilliwack,1,1,0,0,3,1,6.25,12.6875,8,0,0,83.75,21.9375,31.375,6,6,9,2.375,12.4375,7.125,3,2,0,4.125,0,3.25,1,0,0,1,1,0,9,8,2,4,1,7,2,1,2,7,4,0,2,0,6.125,4,13.8125,45.125,5,0,6,1,3,1,0,4.375,0,2
SD34,Abbotsford,4,0,4,0,0,0,7.25,10,4,1,107.875,0,95.125,86.125,4,5,4,3,3,20.375,14.125,0,0,0,2,0,0,0,0,1,8,0,8,4.875,1,9,6.125,4,0,0,7,9,0,1.125,3.25,1,12,1,74.875,10,8,0,4,5,0,1.125,0,12.875,0,1
SD35,Langley,0,0,3,0,0,2,2,12,2,1,56.1875,132.875,0,189.875,17.875,3,12.125,12,15,23.6875,21.25,11,1,2,0,3,0,2,2,0,4.125,2,2,1,4,1.5,7,1,3.875,6,0.875,1,2,0,9,4,10.125,1,16,4,5,0,3,4,0,0,0,3.375,0,1
SD36,Surrey,1,2,42,0,0,5,10,41.75,6,7,90.875,115.875,359.25,0,323.5,42,104,45.5,109.25,65,84.125,12,8,8,6,8,0,0,1,3,4,3,10,6.125,4.125,10,16,10,9.125,5,14,14,7,4,19.625,2.125,33.125,5,35,14,14.75,0,8,4,0,0,0,8,0,6.875
SD37,Delta,0,2,0,0,0,1.125,2,4,3,1,8.875,12,28,183.6875,0,18.5,20.375,5,10.25,7,3.875,6,0,5,1,0.875,0,0,3,1,0,1,3.125,3.625,0,0,8.875,2.625,3,0,2,4,3,1,1,0,5.25,0,8,1,3,0,0.5,1.25,0,0,0,21,0,0
SD38,Richmond,0,0,2.875,1,0,0,0,1,2,0,11.125,4,26,137.5,79.75,0,132.375,10.625,27.375,7.5,32.125,9,11,0,0,3.75,0,0,0,1,1,0,2,7.25,1,0,3,2,2.125,0,5.125,1,1,1.875,4.125,1,5,0,1,0,1,0,0,0,0,0,0,9.375,0,1
SD39,Vancouver,1,0,11,0,0,1,2,7,4,0,10,14,37,282.0625,80.25,121.875,0,41.75,276.5,26,137.1875,72.5,52.875,13.5,1,19,0,4.0625,0,7,9.875,3,6,5.5,0,8.125,31,5,9.875,28,11,8,1,3,56.25,1,9.25,2,7,1,2,0,7.25,3,0,1.125,0,32.75,0,11.75
SD40,New Westminster,1,0,0,0,1,0,1,4,0,1,6,7,21,67,12,14.125,28.25,0,82.75,20,45.5,5,11.125,3,2,2,0,0,0,1,0,0,1,0.125,0,1,3,4.125,4,7,2,1,2,1,2.125,2,1,3,4,0,1,0,2,0,0,0,0,1,0,3
SD41,Burnaby,3,0,8,0,0,1,2,12,1,1,10,18.25,46.875,202.125,26,28.5,137.5,93.375,0,38.625,242.125,24,10,6,3,4,1,0,2,4,0,1.875,4,5.125,1,4.5,8,1.875,2,3,1,5,1,0,12.125,1,3,0.75,8,7,3,0,2,1,0,0,0,1,0,6
SD42,Maple Ridge - Pitt Meadows,3,1,0,0,0,0,0,22,3,0,20.75,24,34,27.125,4,1,10.125,8,9,0,92.25,1.5,0,3,3,0,0,0,0,1,2,1,4.625,1,0,0,3,2,0,0,2,7,0,0,3.375,1,2,0,45.625,0,2,0,1,4,0,0,0,4.125,0,3
SD43,Coquitlam,1,0,12.875,1,2,0,2,27,4,3,14.875,22.5,49,97,16,12.875,40,22,101.5,186.875,0,31,14,5,4,2,0,0,1,0,0,1,5.875,3.875,0,9.625,8,7,3.125,1.125,1,11,3,1,5.125,1,6,1,30.125,5,3.125,0,0,1,0,0,0,3.125,0,12
SD44,North Vancouver,0,0,1,0,1,0,4,6,1,0,11.3125,3,20.125,23,5,2,40.75,4.75,27,6,33,0,94.5,9,0,10.875,0,0,0,0,0,0,3.0625,3.3125,1,1.1875,7,1,5.1875,5,2.75,4,2.875,0,10.875,2.875,4,0,4.625,0,4.125,0,0,0,0,1,0,3.9375,0,2
SD45,West Vancouver,0,0,1,0,0,0,0,1,1,0,0,1,6,0,0,2,29.5625,3,11.125,0,10.875,45.8125,0,2.875,0,8.875,0,0,0,0,0,0,0,2.625,0,0,3,0,0,0,1,0,0,0,3.125,0.75,1,0,0,0,0,0,0,0,0,0,0,2.0625,0,1
SD46,Sunshine Coast,0,2,1,0,0,1,0,0,0,1,6.0625,0,2,5,1,2,8.125,4,1,1,10.125,2,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2.125,2,3,0,0,7,0,1,0,3,0,3,0,0,2,2,0,0,4.125,0,2
SD47,Powell River,0,0,0,0,0,0,0.125,3,2,0,1,2,0,0,0,0,4,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2.75,0,0,0,2,6.875,2,0,33.75,7.625,1,0,0,1,4.875,0,0,0,0,0,0,1,0,6
SD48,Sea to Sky,0,0,2.125,0,1,0,5,6.0625,0,0,7,0,4.375,4,4,4.125,8,0,3,0,3,11.25,6,1,1,0,0,0,0,0,0,0,0,1,0,5.125,4,0,2,0,1,4,0,0,7.625,1,1,1,2,5,4,0,0,3,0,0,0,1.125,0,0
SD49,Central Coast,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
SD50,Haida Gwaii - Queen Charlotte,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,7.9375,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
SD51,Boundary,1,0,5,3,0,5,0,9.125,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,1,0,1,0,2,0,0,2,3,0,0,2,3,0,0,0,0,0,0,2.5,0,0
SD52,Prince Rupert,1,0,0,0,0,0,0,0,0,3,2,0,4,13.875,1,0,11,0,1,1,0,0,2,0,0,0,0,3,0,0,0,3,5,0,2,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,4,0,10.25,0,0,2,0,0,2,1
SD53,Okanagan Similkameen,1,2,0,0,0,0,2,19.125,3,4,9.375,0,2,3.125,4,0,1,1,1,0,0.625,0,1,7,0,0,0,0,2,0,0,2,0,8,0,1,0,1,0,1,51,1,4,0,1,0,5,0,0,0,0,0,0.75,1,0,0,0,0.5,0,0
SD54,Bulkley Valley,0,1,0,0,0,0,0,4,3,9,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,14,0,0,0,0,0,3.375,0,4,4,0,0,5.125,0,2,0,0,0,1,0,9.125,1,0,0,1,7,0,0
SD57,Prince George,1,2,0.625,1,1,1,10,35.125,9.5,23,15,7.875,8,10,0,0,7,0,1,4,4,2,0,1,1,3.875,0,2,1,3.375,4,14.5,0,6,14,11.875,2,3,1.125,0,10,7,7,2.75,3.75,3,40.5,0,10.125,0,0,2,28,6,2,0,1,60.25,1,2
SD58,Nicola - Similkameen,1,0,0,0,0,0,3,10,1,0,19.25,1,3.125,2,3,1,0,0,2.375,0,3,0,0,1,0,0.9375,1,0,0,0,0.875,0,2,0,0,3,2,0,0,0,8,2.25,0,0,1,1,23.25,8.625,1,1,0.5,0,0,4.625,0,0,0,2,0,0
SD59,Peace River South,4,0,2,0,1,2,2,10,9,5,5,3,0,4.0625,1,0,1.125,0,1,0,0,0,0,0,0,0,3,0,4,1,4,7,13.125,3,0,23.375,6.25,0,1,2,3,2,2,9,1,0,13.875,1,0,0,2,0,6,12,0,0,0,5.125,0,0
SD60,Peace River North,3,3.4375,4,0,0,0,11,15.25,3,8,4,1.125,5,4,0,1,1,0,1,3,1,1,1,0,1,0.875,0,0,2,1,0,3,15.25,1,21.0625,0,3,2,1,0,3,4,3,2.125,5,2,11,6.75,1,1.25,8,8.25,0.125,3,0,0,0,5,0,0
SD61,Greater Victoria,5,1,5,0,0,0,3,8,1,0,2.875,3,7,14,0,1,11.75,6,5,1,6.25,4,0,1,2,3,1,0,2,0,1,0,2.75,0,0,4,0,191.625,231.3752,13.125,0,14.5,6.5,9,15.375,7.5,0,1,0,0,40.5,2,3,0,1,3,0,4,0,4
SD62,Sooke,1,0,1,0,0,2.5,1,3.5,0,0,2,3,2,6,0,2,0,2,1,0,3,0,0,0,0,0,0,0,0,3,2,3,1,0,2,3.25,94.25,0,54.625,3,3,9.75,5,8.5,16.625,6.5,4,0,0,0,36.5,0,1,6.375,1,1,0,2,0,5
SD63,Saanich,0,0,1,0,0,0,0.5,0,0,0,3,0,0,3,0,3,1,3,1,0,2,3.375,1,0,1,2,0,0,2,0,0,0,2,2.125,0,0,104.25,42.875,0,5,1,2.75,2,0,4.125,3,3.875,0,0,0,19.25,0,0,0,0,0,0,1.5,0,1
SD64,Gulf Islands,0,0,3,0,0,0,0,0,1.25,0,0,0,0,4,0,0,13.25,6,1,0,1,4,3.125,1,0,0,0,0,0,0,0,0,1,0,0,0,14.75,0.625,8,0,0,5.25,1,0,0,0,0,2.25,0.625,0,2,0,0,0,0,1,0,2,0,0
SD67,Okanagan Skaha,3.875,2,1,0,0,5,5.875,40.5,1,3,12,5,6.875,3.75,3.5,1.625,1.75,2,0,0,1.875,0.75,2,1,0,1,0,0,1,0,22.875,0,6.25,12.875,4.75,1,7.375,0.75,0,3,0,0.75,0,1,1,3,18.25,0,3.75,0,1,0,0,2,0,0,0,2,0,4
SD68,Nanaimo - Ladysmith,1,0,1,0,0,1.75,5.875,6,0,4,5.75,3,4,12.875,5,2,7.875,4,5,2,2,2,1,3,5.875,0,0,4,0,5,0,0,2.75,0,3,4,25.625,13.875,13.625,3,2,0,45.625,15.875,42.25,11.75,8.75,0,1,1.875,39,1,0,2,4,11.875,0,6.875,0,7
SD69,Qualicum,0,0,0,0,1,1,0,0,0,0,2,0,0.5,0,2,0,3,0,0,1,0.375,4,0,1,0,3,0,1,0,0,0,0,0,0,1,3,2.375,4,4.25,1,3,34,0,11,29.25,5,2,0,0,0,5,0,0,0,1,5,0,0,0,0
SD70,Alberni,0,1,0,0,0,0,1.625,0,0,0,2,0,0,5,0,2,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,4,5,5,1.125,0,3,13.25,10,0,7.75,6,1,0,0,0,3,0,0,0,1,1,0,1,0,2
SD71,Comox Valley,0,0.75,1,0,0,0,1,7,4.375,2,3.875,2,2,3.625,0,0,4.1875,1,0,1,2.125,0,1.0625,2.75,26.625,1.125,0,0,1,0,0,5,2.0625,0,1,1.0625,12.75,18.6875,7,2,3,30.75,14.1875,13.4375,0,39.8125,4,2,2,0,5.1875,0,0,2,1,8.625,0,4.375,0,3.5
SD72,Campbell River,4,0,0,0,0,0,2,2,2,3,2,0,1,7.875,2,0,1,0,2,0,0,2,0,2,5.75,2,0,4,0,2,0,0,4,1,3,1,7,3,4,4,7.125,17,10.125,6,38,0,8,0,2,2,2,0,0,0,7,7,0,1,0,9
SD73,Kamloops - Thompson,5,5,1,0,6,0.625,11.375,20,25,11.125,16,7.125,5.625,24,4,3,5.25,5,1.25,4,7.375,4,0,0,0,3.5,0,0,1.4375,1,6.375,4,16,21.625,3,6.375,4,3,1,0,8,6,0,1,2.125,4,0,10.125,0,3,3,0,6,26.5,0,1,0,14.6875,0,1
SD74,Gold Trail,0,0,0,0,1,0,1,0,5,1,0.375,6,1,2.125,0,0,4,0,1,0,0,2,0,3,0,3.125,1,2,2,0,0,0,0,4.875,0,2,2.125,0,0,0,5,2,2,1,1,0,12.5,0,0,0,4,0,0,1.875,0,1,0,1,0,0
SD75,Mission Public,0,0,1,1,0,0,1,3,4,2,25,72.75,11,16.125,3,1,4,4.875,2,26.125,15,0,1,3,0,1,0,0,0,0,1,0,2,1,1,4,0.125,1,1,0,0,1,1,0,3,0,3,1,0,5,1,0,0,5,0,0,0,0,0,2
SD78,Fraser - Cascade,0,0,1,0,0,0,2,2,3,1,64.75,9,4,4,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,6,0,0,0,0,1,0,0,0,0,0,0
SD79,Cowichan Valley,1,3,0,0,0,0,0,4.375,0,2,1.125,0,1,6,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1.125,0,0,0,0,1,27,28.875,30,14,1,52.375,6,5,14.75,4,2.25,0,0,2,0,1,0,4,0,3,0,1,0,1
SD81,Fort Nelson,0,0,4,0,0,0,2,0,3.75,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,5,16.375,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0
SD82,Coast Mountains,2.125,1,2,0,0,1,4,7,2,1,4,1,1,14,1,0,10.875,2,3,0,1,0,0,0,3,0,0,3,2,13,1,17.375,21,0,1,6,2.125,10.125,2,0,6,3,1,0,6,2,3,0,0,5,0,0,0,0,0,1,9,6,15,2
SD83,Okanagan - Shuswap,1,1,1.875,2,9,1,50.0625,19.5625,2,6,3,7,0,6,1.125,0,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,4.125,9.125,1,1,2.75,0,1,0,6,2.75,2.25,2,3,0,47.875,0,0.125,1,2,0,0,0,0,0,0,0,0,0
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,4.0625,1,4,11,14.375,0,0,0,0,1,0,0,2.125,0,0,0,0,0,0
SD85,Vancouver Island North,0,0,2,0,0,1,2,1,2,0,0,0,0,4,2,1,1,0,3,0,3,0,0,3,4,0,0,2,0,0,0,0,5,1,3,0,2,1,1.125,0,0,9,5,3,10.25,19.25,0,0,0,1,0,0,0,2,1,0,0,0,0,0
SD87,Stikine,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
SD91,Nechako Lakes,2.125,1,4.25,0,0,1.375,1,8.125,10.375,9,4.5,3,1,3.5,3.125,0.375,4.25,11,1,8.625,5,1,0,3,1,2,2,3,2,1,0,1,82.5,4.375,2,2.375,7,10,4,2,0.375,7.125,0,0,0.125,2,12.25,3,2,2,2.5,1,11,9,0,0,0,0,0,0
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,19.75,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,27.875,0,0,0,0,0,0,0
SD93,Conseil Scolaire Francophone,1,0,10,0,1,4,3,20.5,2,0,7,14.125,11,26.875,18,15,52.125,2,11,12,21.375,20,14,9.375,6.5,30.125,0,0,0,0,0,0,6,2,0,1.25,23.875,12.875,7,2,9.875,17.25,1,1,12,15,4,0,8,0,1,0,7,1,0,0,0,1,0,0
