Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,26,9.5,1,0,3,3,9.125,0,2,0,2,0,3,1,0,0,1,1,0,0.75,0,0,0,0,0,0,0,0,2,0,2,9.875,2,0,0,3,2,0,0,4,5,2,0,0,4,7,2,0,0,0,0,0,5,0,0,0,1,0,0
SD06,Rocky Mountain,27,0,9.75,1,0,3.125,5,5,3,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,1,3,1,4,0,2,4,0,4,4,0,4,0,1.25,0,0,0,2,5.875,0,0,0,3,0,1
SD08,Kootenay Lake,15.25,3,0,4,0,35.75,8.125,10,1,1,0,0,0,2,0,0.625,4,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,1,0.5,0,0,5.5,0,3.125,0,1,1,5,0,1,0,3,0,0,0,0,0,0,6.875,0,0,0,3,0,2
SD10,Arrow Lakes,0,1,6.125,0,2,1,4,5,0,0,1,0,0,1.125,0,0,1.625,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2.75,1.125,0,0,0,0,0,0,1.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SD19,Revelstoke,0,0,0,0,0,1,8,1,0,0,0,0,0,2.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.625,0,0,0,0,0,0,1,0,0,0,2,1,5,0,0,0,0,0,0,6,0,0,0,0,0,0
SD20,Kootenay - Columbia,11.25,1.875,25.375,1,0,0,3,14.25,0,0,2,2,2,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,2,0,1,0,4.875,0,0,1,0,4,1.125,0,3,2,0,3,2,3,4.875,0,0,0,2.875,0,0,0,0,0,0,2.75,0,1
SD22,Vernon,1,3,7.25,1,3,1,0,34.75,5,4,3,3,2,9.125,0,2,2,1,4,3,2,0,1,0,0,0,0,0,0,0,2,1,7.25,5.125,4,4,2,2,1,0,4,1,5,0,2.375,0,18,0,1,0,1,0,0,44.5,0,0,0,4,0,0
SD23,Central Okanagan,5,2,17.125,2,2.875,8,29.8125,0,11,1,14,12,7,26.25,5,6,19,4,3,16,16,1,0,2,0,2,0,0,11,5.125,9,3.875,21.25,27,4,6,8,8,1,0,28,7.625,1,1,9.125,3,24.625,2,4,1,2,2,0,17.75,0,0,1,10.25,0,5
SD27,Cariboo - Chilcotin,1,0,0,0,0,1,6,12,0,12,11,4,0,7,1,1,2.75,1,1.125,0,5,1,0,0,0,0,1,0,0,0,0,4,25,5,6,3,1,0,1,0,7,5,1,0,4,1,34,1,3,1,0,0,0,6,0,1,0,4.125,0,0
SD28,Quesnel,1,1,2,1,0,0,5,3,12,0,3,3,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,3.125,1,17,0,0,5,1,1,0,1,2,3,0,1,0,3.125,13.375,0,1.25,3,0,0,1,7.25,0,0,0,6.375,0,0
