Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,34.875,16,0,0,11.25,5,5.75,3,0,2,0,0,5,1,0,1,0,0,0,0.25,0,0,1,0,0,0,0,1,0,0,1,5,2,3,2,0,3,1,0,2,3,0,1,1,0,5,0,2,0,0,0,1,4,0,1,0,1,0,0
SD06,Rocky Mountain,23.25,0,11,0,0,1.125,2,7,0,0,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,3.125,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
SD08,Kootenay Lake,14.25,12.875,0,3,0,50.25,1,6,1.25,6,0.75,1.5,0,0,1,0,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,1,2,2,3,1,3.125,1,5,0.375,1,0,11.875,2.875,2,0,0,1,2.875,0,0,5,0,0,0,5.625,0,1
SD10,Arrow Lakes,1,0,4,0,2.375,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.125,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
SD19,Revelstoke,0.875,1,2,0,0,0,4.125,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,1.125,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,15.125,0,0,0,1,0,0
SD20,Kootenay - Columbia,7.125,5,35.25,2,0,0,0,5.125,2,0,2,0,0,4,1,0,0,0,2,1,1.25,0,1,0,0,0,0,0,4,2.5,0,0,4.125,3.5,0,0,1.125,1,0,0,0,0,0,1,7.5,1,3,1,1.25,0,2,0,0,2,0,0,0,4.125,0,0
SD22,Vernon,1,5,1.625,2,0,1,0,44,2,4,6,3,1,10.125,3,0,1,1,2,1,3,0,0,0,0,0,0,0,2,1,3,0,5,4.25,2,2,0,4,1,0,3.75,5,1,2,5,0,21.375,2,3,0,0,1,1.75,68.75,0,0,0,12.25,0,2
SD23,Central Okanagan,10,2,6,6,2.25,12,47.75,0,14,3,9,12,5,9,10,1,9,0,2,6,5.25,8,4,3,0,0,0,0,12,0,18.25,1,22.875,14.375,2,4,5.9375,5,4,0,42,14,0,0,13.875,0,29.8125,2,1,2,3,2,3.125,21,0,0,0,19.625,0,4
SD27,Cariboo - Chilcotin,2,2,0,0,0,0,6,10,0,12.75,1.875,5,3,6,0,0,1,0,1.875,4,0,1,0,1,0,1,0,0,1,0,4,0.75,23.875,7,5,3,3,3,1.375,0,13,2,0,0,2,1,38.875,4,0,0,4,0,3,3.125,0,1,0,11,0,0
SD28,Quesnel,1,0,1,0,0,3,4.125,1,13,0,2,1,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,19,2.125,1.75,9.125,0,0,0,1,1,1,0,1,1.25,2,9,1,0,0,3,0,1,2,0,0,0,6.625,0,0
