Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD33,Chilliwack,1,1,0,2,1,0,5.125,17.125,18,8,0,71.75,27.1875,34.5,3,5.5,9,1,10,12.375,11.375,4.125,1,5,0,5,0,3,0,1.0625,8.0938,2,11,5,2,1.1875,1,6.0938,1,1,4.0625,2.0625,3.1875,3,2.1875,0,44.125,1,17.0625,62.9375,2.0625,0,2,8,0,2.0625,0,15.0625,0,0
SD34,Abbotsford,1,0,0,0,0,2,2.5,23.125,10,6.125,154.25,0,77.875,67.125,9.125,3,7,4,10,5,16.375,2,7,0,1,1,0,0,3,0,1,1,10,8,0,7,1.125,2,1,0,2,8.125,1,3,1.25,6,46.25,1,63.5,14,9,0,2,4.125,0,0,0,6.5,0,3.25
SD35,Langley,0,3,0.875,2,1,4,12,50.75,8,6,64.5,105.875,0,202.75,15,6,11.875,1,13.125,25,19.875,3.5,3,3,6.5,1,0,0,0,0,3,1,9.5,3.75,2,0,3,5,1,0,8,14.125,2,2,11.875,4,21.875,0,24,9,6,0,0,12,0,1,0,8.5,0,4
SD36,Surrey,3,2,11.375,0,0,6,15.375,53.125,15.125,11,125.6875,174.375,337.25,0,276.4375,55.625,112.5,23,79.625,72.5,72.25,15,9,9,5,4.875,0,0,4,5.125,5.25,6,22,8.25,7,7,19.375,11.125,7.25,3,15,21,6,7,28.625,12,38.1875,2,25,7,9,0,5,10,0,2,0,29.375,1,9
SD37,Delta,1,1.25,0.875,0,0,4,6,18.5,1,0,14,18.875,24,175.125,0,26.25,16.5,3,10,6,10,1,2.75,0,1,3,0,0,0,0,3,3,4,2.875,0,0,11.125,7,6.625,1,1.75,10.625,10,0,4,0,4.875,0,5,3,3.875,0,0,1,0,0,0,100.375,0,4
SD38,Richmond,0,0,0.875,0,0,0,6,13,3,1,2.875,1,20,97.5,56,0,125.25,19,27.625,8.375,13,5,9,2,2,4,0,0,0,0,0,1,0,4.375,0,0.25,5,2,4.875,0,2,1,1,0,15.125,2,9.125,0,0,1,2,0,0,1,0,0,0,17.25,1,0
SD39,Vancouver,1,0,4,0,1,0,3,17.875,1,0,26.25,18,36.25,206.125,59.625,109,0,47,195.0625,20.1875,71.25,53.25,51.125,12,0.875,17,1,1,1,2,1.75,1,3,8.625,0,0,38,5.875,8.625,19,5,9,8,3,63.875,6.0625,8.875,1,7.125,2,6,0,3,2.625,0,1,0,28.75,1,19.125
SD40,New Westminster,0,0,2,0,0,1,1,2,3,0,4,8,17,63,11,18,29.875,0,79.75,12,39,11,12,0,0,0,0,0,0,0,1,0,0,1,0,1,3.125,2,0,17,0,3,0,0,53.875,4,1,0,4.25,1,1,0,0,1,0,0,0,2,0,2
SD41,Burnaby,0,1,0,1,0,2,0,7,0,3,9.875,13,58,183.875,24,28.875,162.75,78.75,0,35.625,187.25,9,23.125,2,4,4,2,0,1,1,2,0,5,0,0,3,9,4,2,2,5,19.125,0,2,11.125,1,5,2,4,0,2,0,4,1,0,0,1,5.25,3,7
SD42,Maple Ridge - Pitt Meadows,6,1,1,0,1,2,3,7,4,4,15.125,23.375,26.125,38,6,3,10,3,10.5,0,78.625,0,3,2,1,1,0,0,0,0,5,4,8,2,0,2,2,3.125,2.375,3,5,7,6,2,2,7,11,2,52.25,2,4,0,0,5,0,2,0,11.125,0,1
SD43,Coquitlam,0,0,6,2,0,1,7,23,3.125,3,18,10,55.125,88.125,15,17,45.75,17,71.9375,154,0,21.875,9,1,3.375,8,0,2,1,0,1,2,10,3,3,13.75,6,9.75,6,2,10,16,0,5,11.625,8.125,11,0,14.875,3,3,0,0,9,0,0,0,3.125,0,7
SD44,North Vancouver,0,0,2,0,0,0.625,8,4.0625,0,1,10,4,10,14,6.75,1.125,22.75,4,19.6875,10,39.125,0,104.125,13.125,0,11,0,0,0,0,4,0,2,2.8125,0,0,5,7.375,4.75,1,2,14.375,5,0,10.5625,0,1,0,0,0,4.25,0,1,1,0,0,0,3.9375,0,2
SD45,West Vancouver,0,0,0,0,0,0,3,5,0,0,2,1,2,7,4,1,30.75,7,7.8125,2,13,56.9375,0,3,0,11.125,0,0,0,0,0,0,0,0,0,0,5,2,4.25,0,2,2,0,0,8.75,0,0,0,0,0,0,0,1,0,0,0,0,5.125,0,1
SD46,Sunshine Coast,0,0,3,0,0,0,2.25,0,1,0,3.25,1,4.125,4.25,0,1,9,1,0,0,3.125,8,6.125,0,8,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,2,4.125,3,2,11,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
SD47,Powell River,3,0,0,1,0,2.125,0,1,0,1,0,3,2,6,1,1,1.875,2,1.625,1,0,1,1,6,0,1,0,3,0,0,0,0,0,0,0,2,1,0,1,3,0,5,1,2,21.5,6,2,0,0,0,3,0,2,0,0,0.25,0,0,0,1
SD48,Sea to Sky,0,0,4,0,0,1,6,5,2,1,11.125,1,2,1,2.25,0,6.125,0,7,0,2,17,12,8,2.125,0,0,0,0,0,1,0,1,5.375,3.125,1,2,3,0,0,2,3,2,2,19.375,2.25,6,1,2,4,5,0,0,3,0,0,0,2,0,5
SD49,Central Coast,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,5,0,0,2,0,0,0,0,0,8,1,1,1,0,0,0,3,0,0,2,0,0,0,2,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
SD51,Boundary,2,0,3,0,0,7,2,15,1,0,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,4,1,2,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,5,0,0
SD52,Prince Rupert,0,0,0,0,0,0,0,4,2,0,1,1,1,1.125,1,1,7,0,4,0,1,1,0,0,0,0,0,3,1,0,0,0,17,1,0,0,0.875,1,0,0,3,2.875,2.125,1,0,1,0,0,0,0,0,0,24.125,0,0,0,0,2.375,2,0
SD53,Okanagan Similkameen,0,2,0,1.25,0,0,5,12.375,1,0,0,1,4.25,8,0,0,2.125,0,2,3,1,0,0,2.125,0,0,0,0,4,0,0,0,2,2.125,0,0,2,0,0,0,28,0,0.125,0,2.375,0,9.25,0,0,0,1,0,0,7,0,0,0,1,0,0
SD54,Bulkley Valley,4.125,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,1,0,2,3,0,11,0,0,0,1,0,1.125,0,2,0,1,0,8,1,0,0,3,0,0,0,16,0,0,1,0,5.875,0,0
SD57,Prince George,1,1,4,0,0,2,4,13.75,26.125,7,7,2.25,4.875,7,7,1,8.875,0,2,3,1,1,0,0,2,0,0,1,0,12,3,13.875,0,6,15,8,4,4,3.125,0,5,5.625,1,3.25,4,1,19.25,0,0,2,4,0,20.625,12,1,0,0,62.375,2,5
SD58,Nicola - Similkameen,1,2,0,0,0,0,3.375,11.875,9,0,1,1,2,3,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,10.875,0,1,0,1.25,0,2,0,1,0,7.125,1,0,0,0,0,18.375,2,0,2,2,0,0,3.125,0,0,0,7.125,0,0
SD59,Peace River South,3,1,2,1,2,0,8.375,5.375,4,1,3,4,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13.125,2,0,18.375,6,3.125,3,0,0,6,1,0,1,0,8,1,1,3,0,5,1,8,0,1,1,1,0,0
SD60,Peace River North,0,0,2.0625,1,1,2,1,9.125,8.375,6,10.125,3.6875,4.1875,0,0,0,0,0,2,1,3.9375,0,0,0,0,2,0,0,8.125,2,0,0,14.875,2,15.0625,0,0,3,0.375,1,10,4,0,1.125,6.4375,0,8.125,1,3,2,0,7.9375,3,22.375,0,0,0,4,0,0
SD61,Greater Victoria,2,0,5,0,0,1,0,5,0,0,0,2,2.25,18.125,0,4,14.5,1,8.25,2,5,3,3,3,3,1,0,2,0,2,2,0,7,3,0,0,0,153.3125,294.9378,6,2,19,4.875,8,24.5,7,7,1,0,0,31.125,0,1,2,2,1,0,3,0,4
SD62,Sooke,0,0,0,0,0,3,1.125,4,1,5.25,4.125,0,2,10,3,1,2.125,1,1.625,0,0,0,0,1,1,0,0,0,0,0,2.125,0,6,2.125,0,0,111.125,0,53.375,1,2,6.875,4,3,20,6,1.625,1,2,0,36,0,2,1,4,2,0,5.125,0,2
SD63,Saanich,1,0,0,0,0,0,0.375,2,2,0,0,2,4,2,1,1,0.25,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,92.875,42.875,0,4.875,0,6.125,5,2.125,10,1,5,0,1,0,16,0,2.25,0,0,0,0,5.375,0,0
SD64,Gulf Islands,1,0,2,0,0,0,1,1,1,0,0,0,0,2,0,1.125,18.875,1,4,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,13.25,4.125,6.625,0,0,1.875,3.625,1,4,1.125,1,0,0,0,11.25,0,0,0,0,0,0,4.25,0,0
SD67,Okanagan Skaha,0,1,1.125,2,1,7.125,12,35.5,2,0,1,9.125,6,11.25,0,0,1,0,1.75,0,3,0,1,1,0,1.125,0,0,3,0,41,0,8.125,9.0625,0,1,6,1.125,1,0,0,1,4,0,6,3,10,2,0,0,5.125,0,0,3.125,0,0,0,2,0,2
SD68,Nanaimo - Ladysmith,0,2,1,0,0,1,1,11.875,1,3,1,3,2,9,4,3,11,1,3,2,7,0,2,1,3,2.125,0,1,1,0,0,0,7,0,0,5.875,13,18.875,3,1,2,0,42.25,36.75,50.625,22.875,7,0,0,3,37,1,1,3,40.625,5,1,5,0,4
SD69,Qualicum,0,1,2,0,0,1,0,0,2,3,3,3,0,3.125,0,0,0,0,0.5,2,1,0,1,2,1,0,0,0,0,0,0,0,2,2,1,0,1,5,0.375,0,0,34.25,0,14,18.75,2,2,0,0,0,5,0,1,0,5,4,0,0,0,0
SD70,Alberni,0,4,1,0,1,0,0,1,0,3,1,2,0,6,1,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,5,1,10.125,4,4,2,2,24.625,12,0,23.9375,9,1,0,0,0,5,0,1,1,4,3,0,0.875,0,3
SD71,Comox Valley,0,5.25,3.125,0,2,4,3,3,3.5,0,1,1,7,6,1,0,3.25,11,5,1,3.375,5.375,2,0.125,42.9375,5,0,0,0,2,2,0,5.25,0,0,3.125,11.0625,16,5,23,1,46.8125,15,7,0,42.9375,6,0,0,1,30,0,2,2,4,11,0,4,0,5
SD72,Campbell River,1,0,1,0,0,1,2,0,1,1,7,1,0,3,0,1,1,5,3,0,3,0,0,1,3,1,4,0,0,0,0,0,1,1,0,3,3.875,11.875,0,0,4,18.125,2.875,3,28.25,0,0,0,0,0,2,0,0,0,6.125,16,0,5.25,0,11
SD73,Kamloops - Thompson,1,3,3,4,1,1,24,22.75,19.125,8,9,12,5,15.125,5,1,2,3,2,1,4,2,1,5,0,3,1,0,6,3,4,5,21,25.625,8.125,5,7.125,5,1,1,22,3,2,3,6.625,7,0,17.125,1,3,3,0,10,42,0,0,0,8.75,0,3
SD74,Gold Trail,0,1,0,0,0,0,3,3,2,0,2,0,0,3,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,4.625,0,0,0,0,0,0,1,0,0,2,0,0,18.5,0,1,3,0,0,0,1.875,0,0,0,0,0,1
SD75,Mission Public,1,1,2,0,0,1,2,5,12,3,27,102.875,11.125,11.875,4,0,4,3,0,24.25,8,1,1,0,0,1,0,0,1.125,4,2,2,7,7,2,0,0,0,0,0,2,4,3,0,5,6,8,0,0,4,0,0,1,7,0,0,0,1,0,1
SD78,Fraser - Cascade,0,0,0,0,1,1,0,0,9,0,30,15,0,5,0,1,0,0,3,1,0,0,0,7,0,0,0,0,1,0,0,0,2,1,0,4,1,1,2,0,2,0,0,0,2.125,1,1,0,3,0,2,0,1,0,0,0,0,1,0,0
SD79,Cowichan Valley,0,1,1,0,1.125,1,2,3.125,1,0,0,2,3,3.125,4.125,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,3,1,0,3,3,26.125,33.875,30.5,13.25,1,49.125,5.375,5,15.625,2.25,5,2,0,0,0,0,3,2,1,2,0,7.125,0,0
SD81,Fort Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,15.125,0,0,0,0,0,0.875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SD82,Coast Mountains,1,0,1,1,0,1,1,6,8,1,3,1,2,4.75,0,0,7,3,4,0,4,0,0,0,2,0,0,4,1,9.125,0.875,11,17,2,0,5,4,1,2,0,1,5,2,2,2,0,16.125,0,0,0,5,0,0,1,0,0,3,8.125,16.75,4
SD83,Okanagan - Shuswap,1,3.875,3,0,2,2,55.9688,16.25,4,0,9,3.125,3,4,0,1,0,4,0,0,1,1,0,0,2.875,0,0,0,0,2,1,2,6,2.25,4,3,4,0,4,1,2,1,1,1,1,2,34.625,0,2,0,1,0,1,0,0,0,0,2,0,2
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,1,3,4.25,6.75,0,0,0,0,2,0,0,0,0,1.25,0,0,0,0
SD85,Vancouver Island North,0,0,0,0,0,0,1,0,0,5.125,2,0,0,2,0,0,1,0,3.25,0,0,1,0,0,2.125,0,0,0,0,0,0,0,1,0,0,0,5.125,1,7.25,0,1,4,1,5,10.5,11.125,0,0,0,0,4,0,0,0,0,0,1,0.125,0,0
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0
SD91,Nechako Lakes,6.125,2,1,0.125,0,0,3,6,5.125,4,7,2.25,2,4.25,1,2,7.125,2,0,0.375,0,0.625,0,5,0,0,0,0,0.125,0,4,11,49.25,5,2,1,1,4,1.125,1,3,2,0,0,4,4,5.375,2,4.25,0,3,0,6,3,0,2.375,0,0,0,0
SD92,Nisga'a,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0
SD93,Conseil Scolaire Francophone,3,1,10,0,5,4,2,13,0,0,14.75,9,8,18.75,12.25,22,37,4,17,5,25.75,50,15,8,25.125,24,0,0,0,0,1,0,9,0,0,0,31.5,11.125,7,3,8,10.125,3,3,29.75,10,10,1,5,0,1.375,0,5,0,0,0,0,1.875,0,0
