Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,27,15.25,0,0,11.25,1,5,1,1,1,4,0,1,0,0,1,1,3,3,1,0,0,0,0,0,0,2,1,1,1,0,1,1,4,3,5,1,0,0,3.875,1,0,0,0,4,5,0,0,0,1,0,2.125,1,0,0,0,2.125,0,1,117.625,113.25
SD06,Rocky Mountain,26,0,3,1,0,1.875,3,2,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,3.4375,1,0,0,0,2,0,0,1,0.75,0,5,0,0,0,3,0,1,1,0,0,0,1,0,0,70.0625,108
SD08,Kootenay Lake,9.5,9.75,0,6.125,0,25.375,7.25,17.125,0,2,0,4,3,42,0,2.875,11,0,8,0,12.875,1,1,1,0,2.125,0,0,5,0,0,0,0.625,0,2,4,5,1,1,3,1,1,0,0,1,0,1,0,1,1,0,4,2,1.875,0,2,0,4.25,0,10,217.75,124.75
SD10,Arrow Lakes,1,1,4,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,20,32.875
SD19,Revelstoke,0,0,0,2,0,0,3,2.875,0,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,9,0,0,0,0,0,1,35.875,32.375
SD20,Kootenay - Columbia,3,3.125,35.75,1,1,0,1,8,1,0,1,0,2,5,1.125,0,1,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,2,0,0,2.5,0,0,5,1.75,1,0,0,0,0.625,0,0,0,0,0,1,1,0,1,0,1.375,0,4,93.25,107.25
SD22,Vernon,3,5,8.125,4,8,3,0,29.8125,6,5,6.25,7.25,2,10,2,0,2,1,2,0,2,4,0,0,0.125,5,0,0,0,0,2,0,10,3,2,11,3,1,0.5,0,5.875,5.875,0,1.625,1,2,11.375,1,1,2,0,2,4,50.0625,0,2,0,1,0,3,241.875,201.375
SD23,Central Okanagan,9.125,5,10,5,1,14.25,34.75,0,12,3,12.6875,10,12,41.75,4,1,7,4,12,22,27,6,1,0,3,6.0625,1,0,9.125,0,19.125,4,35.125,10,10,15.25,8,3.5,0,0,40.5,6,0,0,7,2,20,0,3,2,4.375,0,7,19.5625,0,1,1,8.125,0,20.5,520.8125,435.6875
SD27,Cariboo - Chilcotin,0,3,1,0,0,0,5,11,0,12,8,4,2,6,3,2,4,0,1,3,4,1,1,0,2,0,1,0,3,0,3,3,9.5,1,9,3,1,0,0,1.25,1,0,0,0,4.375,2,25,5,4,3,0,3.75,2,2,0,2,1,10.375,0,2,175.25,181
SD28,Quesnel,2,0,1,0,0,0,4,1,12,0,0,1,1,7,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,3,4,9,23,0,5,8,0,0,0,0,3,4,0,0,2,3,11.125,1,2,1,2,2,1,6,0,0,0,9,0,0,135.125,110.5
SD33,Chilliwack,0,3,0,1,0,2,3,14,11,3,0,107.875,56.1875,90.875,8.875,11.125,10,6,10,20.75,14.875,11.3125,0,6.0625,1,7,0,0,2,2,9.375,0,15,19.25,5,4,2.875,2,3,0,12,5.75,2,2,3.875,2,16,0.375,25,64.75,1.125,1,4,3,0,0,0,4.5,0,7,617.8125,368.75
SD34,Abbotsford,2,0,0,0,0,2,3,12,4,3,83.75,0,132.875,115.875,12,4,14,7,18.25,24,22.5,3,1,0,2,0,0,0,0,0,0,1,7.875,1,3,1.125,3,3,0,0,5,3,0,0,2,0,7.125,6,72.75,9,0,1,1,7,0,0,0,3,0,14.125,617.25,568.125
SD35,Langley,0,0,0,0,0,2,2,7,0,0,21.9375,95.125,0,359.25,28,26,37,21,46.875,34,49,20.125,6,2,0,4.375,0,0,1,4,2,1,8,3.125,0,5,7,2,0,0,6.875,4,0.5,0,2,1,5.625,1,11,4,1,0,1,0,1,0,0,1,0,11,845.8125,623.75
SD36,Surrey,3,4,2,1.125,2.75,0,9.125,26.25,7,3,31.375,86.125,189.875,0,183.6875,137.5,282.0625,67,202.125,27.125,97,23,0,5,0,4,0,2,1,13.875,3.125,1,10,2,4.0625,4,14,6,3,4,3.75,12.875,0,5,3.625,7.875,24,2.125,16.125,4,6,0,14,6,0,4,0,3.5,0,26.875,1601.9375,1767
SD37,Delta,1,0,0,0,0,0,0,5,1,0,6,4,17.875,323.5,0,79.75,80.25,12,26,4,16,5,0,1,0,4,0,1,0,1,4,1,0,3,1,0,0,0,0,0,3.5,5,2,0,0,2,4,0,3,0,0,0,1,1.125,0,2,0,3.125,0,18,642.125,400.8125
SD38,Richmond,0,0,0.625,0,0,1,2,6,1,0,6,5,3,42,18.5,0,121.875,14.125,28.5,1,12.875,2,2,2,0,4.125,0,0,0,0,0,1,0,1,0,1,1,2,3,0,1.625,2,0,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0.375,0,15,308.625,549.875
SD39,Vancouver,0,1,4,1.625,1,0,2,19,2.75,0,9,4,12.125,104,20.375,132.375,0,28.25,137.5,10.125,40,40.75,29.5625,8.125,4,8,1,0,0,11,1,1,7,0,1.125,1,11.75,0,1,13.25,1.75,7.875,3,0,4.1875,1,5.25,4,4,0,1,1,10.875,1,0,1,2,4.25,1,52.125,774,1486.3125
SD40,New Westminster,1,0,0,0,0,0,1,4,1,0,2.375,3,12,45.5,5,10.625,41.75,0,93.375,8,22,4.75,3,4,2,0,0,0,0,0,1,0,0,0,0,0,6,2,3,6,2,4,0,0,1,0,5,0,4.875,0,0,0,2,0,0,0,0,11,0,2,314.25,381.125
SD41,Burnaby,1,0,0,1,0,0,4,3,1.125,2,12.4375,3,15,109.25,10.25,27.375,276.5,82.75,0,9,101.5,27,11.125,1,2,3,0,1,0,1,1,1,1,2.375,1,1,5,1,1,1,0,5,0,2,0,2,1.25,1,2,0,0,0,3,3,0,3,0,1,1.5,11,756.4375,1008.625
SD42,Maple Ridge - Pitt Meadows,0,0,0,0,0,1,3,16,0,0,7.125,20.375,23.6875,65,7,7.5,26,20,38.625,0,186.875,6,0,1,2,0,0,0,0,1,0,0,4,0,0,3,1,0,0,0,0,2,1,0,1,0,4,0,26.125,3,1,0,0,0,0,0,0,8.625,0,12,498.9375,356.5
SD43,Coquitlam,0.75,0,0,2,1,1,2,16,5,0,3,14.125,21.25,84.125,3.875,32.125,137.1875,45.5,242.125,92.25,0,33,10.875,10.125,0,3,0,0,0,0,0.625,0,4,3,0,1,6.25,3,2,1,1.875,2,0.375,0,2.125,0,7.375,0,15,1,0,0,1,1,0,3,0,5,0,21.375,842.3125,795.625
SD44,North Vancouver,0,0,1,0,0,0,0,1,1,0,2,0,11,12,6,9,72.5,5,24,1.5,31,0,45.8125,2,0,11.25,0,0,0,0,0,0,2,0,0,1,4,0,3.375,4,0.75,2,4,0,0,2,4,2,0,0,3,0,0,1,0,0,0,1,0,20,290.1875,373.125
SD45,West Vancouver,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,11,52.875,11.125,10,0,14,94.5,0,3,0,6,0,0,0,2,1,0,0,0,0,1,0,0,1,3.125,2,1,0,0,1.0625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,239.6875,138.6875
SD46,Sunshine Coast,0,0,0,0,0,0,0,2,0,3,4.125,0,2,8,5,0,13.5,3,6,3,5,9,2.875,0,1,1,0,0,0,0,7,0,1,1,0,0,1,0,0,1,1,3,1,0,2.75,2,0,3,3,0,0,0,0,0,0,3,0,3,0,9.375,110.625,89.5625
