Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,25.625,19.9375,2,0,4.875,5,10,2,2,1,5,1.75,3.875,0,1,4,0,2,2,3,1,0,1.4375,0,0,0,1,0,0,0,1,3,1,2,1,1,6,0,0,4,3,0,0,0,2,9,0,0,0,0,0,4,4,0,2,0,0,0,0,141.5,122
SD06,Rocky Mountain,25.125,0,9,2,1,4.25,4,2,2,1,0,0,0.375,1,3,0,1.125,0,0,0,0,1,0,0,0,2,0,2,2,1,2,0,0,0,0,2,5,1,0.125,0,1,0,0,3,0,0,1,1,2,0,1.125,0,0,1.125,0,0,0,0,0,0,84.25,84.75
SD08,Kootenay Lake,17,9,0,10.125,0,28.125,4.75,14,0,0,4,0,1,13.25,0,1,7.625,3.0625,4,1,8.875,1,2.125,1.25,0,0,0,0,4,2,1,0,1,0,0,0,5.125,2,0,0,4,1,2,0,1,3,1.25,0,1,0,0,0,1.5,2,0,1,0,0,0,1,165.0625,155.625
SD10,Arrow Lakes,1,0,5,0,0,1.5,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,31
SD19,Revelstoke,1.125,0,0.875,1,0,0,1,1.625,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,3.25,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,0,0,0,0,0,0,2,0,0,0,0,0,3,25,36.125
SD20,Kootenay - Columbia,4,3,39.875,1,2,0,0,9,1,1,1,2,2,3,1,0,1,1,1,2,1,0,2,0,0,1,0,0,7,2,0,0,6,0,1,2,1,0,0,0,2,3,0,2,1.5,1,1,2,0,1,2,1,0,0,0,0,0,0,0,9,123.375,117.625
SD22,Vernon,10,3,6,0,3,1.125,0,57.125,11,5,11.375,6,7.125,28,4,7,11.875,1,3,11.125,5,3,0,2.125,0,2,0,0,2,0,7.5,3,15,1,5,9.25,3,2,1,0,1,0,0.5,3,2,1.125,21.25,0,0,0,4,0,3,64.625,0,0,0,1,0,1,350.125,296.75
SD23,Central Okanagan,3,3,9.4375,3.25,2,10,52,0,11,5.75,11.3125,13,19,57.75,8,13,15.125,2,7,24,21,25,2,1,1,7,1,3,19,2,17.375,1,21,16,3,10,3.875,5.625,2,2.5,38.625,6,0,8,2.25,1,24,0,5,0,1,3,3,22.4688,0,0,0,9,0,18.75,576.0938,465.9375
SD27,Cariboo - Chilcotin,4,0,0,0,2.875,0,5,9.625,0,12.125,4,9,6,16,0,0,1,3,0,7,4,1,0,2.5,0,11.125,2,0,1,0,3,2,15.125,12,3.25,3,4.375,1,2,0,4,1.125,0,1,8,1,27.25,3,7,4,1,0,7,5,0,1,0,8,0,0,225.375,203.125
SD28,Quesnel,0,0,0,0,0,4.125,1,8.25,16,0,1,1,2,4,0,0,1,0,0,3,0,0,0,1,1,1.25,0,0,3,1,0,2,16,3,5.375,5,0,1,0,1,1,0,1,0,1.125,0,4,2,0,1,0,0,0,2,0,0,0,4,1,0,99.125,126.125
SD33,Chilliwack,0,1,3.125,0,1,2,2,10.125,5,2,0,161.875,73,120.125,18.125,6,13.875,7,5,25.125,36.125,6,1.125,1,1,4,0,3,0,0,5.625,1,7,2,0,5.25,5,1.625,0,0,4.125,5,1,1,5.0625,0,18,1,23,57.625,9,0,2,1,0,1,0,13,0,9.125,687.0625,447.0313
SD34,Abbotsford,0,0,1,0,0,0,8.5,15.625,4,1,83.8125,0,102.625,154.875,12.25,3,12,3,6.875,19.125,8,4,0,0,1,3,0,0,1,0,0,0,6,6,3,4.9375,4,5.5,0,0,2,7,3,0,2,1,15.125,0,55.375,6,2,6,3,3,0,0,1,3.125,0,2,585.75,662.375
SD35,Langley,1,2,0,0,2,1,4,6,2,3,40.4375,111.375,0,429,33.875,22,32.9375,14,74,21.125,58.25,7,2.875,2,4,3,0,0,2,0,0,0,3,2,2,2,3,0,0,0,6,3,1.875,2,5.0625,0,1.5,6,19.125,2,0,0,0,0,0,1,0,3.125,1,3,945.5625,730.8125
SD36,Surrey,2,2,1,0,0,3.875,9,20.5,16,2,27.25,77.5,207.25,0,228.625,115.625,281.125,53.25,146.875,31,63.125,11,3,12.125,0.875,7,0,1,0,0,5.25,1,20,0.25,8.125,4,11.125,4,6,1,4,22,2,3,1.125,1,19.25,3,13.125,6,6,1,3,3,0,1,0,8.125,3,21.125,1504.5,1965.25
SD37,Delta,0,0,0,0,0,0,1,7.5,2,1,5,9,18,324.125,0,71,51.5,9,29,3,9,1,5,1,1,2,0,0,0,0,0,0,2,1,0,0,4,4,2,0,2,2,1,1,3,1,2,0,1.125,2,1,0,2,1,0,0,0,3.5,0,4,589.75,569
SD38,Richmond,1,1,0,0,0,0,0,0,0,1,6.1875,4,4.125,54.5,19.125,0,154.5625,4,43.75,0,6,0.9375,2,2,0,0,0,0,0,0,1,1,0,0,0,2,8.25,2,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,1.5,0,15,342.9375,551.25
SD39,Vancouver,0,0,0,0,1,1,5,6,0,2,12.1875,4,9,135.5,23,134.875,0,31,201.5,15.25,60.5,25.0625,23.8125,11.125,2,7.375,0,1,0,3,1,1,4,2,2,0,5,4,3.25,16.375,1,3,1,1,1,0,6,6,2,2,3.125,0,11,1,0,1,0,14.125,4,56,867.0625,1454.8125
SD40,New Westminster,0,0,0,0,0,0,0,2,0,0,8,3,9,39.125,4,12,53.75,0,60.125,8,17,9.125,6,1,0,1,1,0,0,0,0,0,3,0,0,0,0.625,1,0,1,0,1,0,0,9,1,0,0,2,2,0,0,0,1,0,0,0,3,0,3,261.75,351.75
SD41,Burnaby,2,1,0,0,0,0,0,4.25,0,0.75,1.5625,7.375,19.25,64.8125,8,24.375,215.3125,67.5,0,13.125,76.625,21.25,7.5,1,1,6.5,0,1,0,0,1,0,2,2,0,2,6,3,0,2,6,2,0,0,4,0,6,0,4,1,6,1,0,0,0,0,0,1,4,9,606.1875,955.5
SD42,Maple Ridge - Pitt Meadows,0,1,1,0,0,0,5,6,3,0,4.25,17,23.375,48.125,7,6,25.375,13,48.5,0,193.125,14.125,2,1.125,2,3,0,0,0,2,1,0,8,0,0,1,0,2,0,0,2,1,1,0,0,0,2,0,22.125,2,1,0,0,1,0,0,0,1.125,0,4,475.25,393.25
